,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,1662594,40,,left,saccade,1.0,,,,382.144,149.374,382.041,146.42,,,
11,1662594,40,,right,saccade,1.0,3.0,,,398.535,170.19799999999995,390.91,130.015,,,
12,1662718,1060,3.5565735294117653,left,fixation,1.0,,396.093582706767,147.32566541353398,,,,,1.0,4.826395322137999,7.8261595307021405
13,1662722,1056,3.5565735294117653,right,fixation,1.0,4.0,407.367166037737,158.351271698113,,,,,1.0,4.442769034559916,17.658582757401554
14,1663782,24,,left,saccade,2.0,,,,410.403,166.22099999999998,511.517,262.42400000000004,,,
15,1663782,28,,right,saccade,2.0,4.0,,,408.785,155.77100000000004,520.788,264.825,,,
16,1663810,404,3.670306930693069,left,fixation,2.0,,500.31936274509803,285.618803921569,,,,,1.0,7.1833505896931,20.62819344974244
17,1663814,400,3.670455000000001,right,fixation,2.0,5.0,501.68865346534596,276.918386138614,,,,,3.0,3.912611981446101,12.778732110013035
18,1664218,24,,left,saccade,3.0,,,,485.791,297.5370000000001,708.1560000000003,286.83799999999997,,,
19,1664218,24,,right,saccade,3.0,5.0,,,482.361,281.582,730.975,276.303,,,
20,1664246,1264,3.6442104430379736,left,fixation,3.0,,723.343842271293,278.841725552051,,,,,1.0,3.7977360982857213,11.191904976365842
21,1664246,1264,3.6442104430379736,right,fixation,3.0,6.0,710.6994542586749,272.621981072555,,,,,2.0,3.080599151807288,9.552869017891448
22,1665514,36,,left,saccade,4.0,,,,724.3510000000001,263.574,440.88800000000003,204.486,,,
23,1665514,36,,right,saccade,4.0,6.0,,,713.092,259.53,441.195,203.47400000000002,,,
24,1665554,1188,3.770447986577181,left,fixation,4.0,,405.994822147651,159.536362416107,,,,,2.0,3.3481969790816493,7.414464266276412
25,1665554,1188,3.770447986577181,right,fixation,4.0,7.0,401.106802013423,178.295432885906,,,,,4.0,3.1423542432086733,7.4327036353597356
