,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
194,2403349,24,,left,saccade,1.0,,,,770.341,459.63699999999994,609.745,594.415,,,
195,2403349,24,,right,saccade,1.0,48.0,,,733.904,461.68199999999996,603.855,602.751,,,
196,2403377,132,3.2511363636363635,left,fixation,1.0,,610.102647058823,596.85,,,,,0.0,,
197,2403377,136,3.2519558823529406,right,fixation,1.0,49.0,601.401914285714,610.8233428571431,,,,,2.0,4.383799408438914,6.4233576566696335
198,2403513,24,,left,saccade,2.0,,,,604.502,596.95,461.608,605.096,,,
199,2403517,20,,right,saccade,2.0,49.0,,,596.013,613.479,431.69199999999995,640.378,,,
200,2403541,288,3.2620354579991564,right,fixation,2.0,50.0,429.02924657534203,650.620753424657,,,,,3.0,3.476618917766825,10.885218588601816
201,2403541,292,3.2620354579991564,left,fixation,2.0,,449.03851351351403,627.836635135135,,,,,4.0,4.454887109928777,13.052898632639105
202,2403833,40,,right,saccade,3.0,50.0,,,426.14099999999996,642.573,511.211,547.495,,,
203,2403837,44,,left,saccade,3.0,,,,462.02099999999996,609.111,479.99,556.295,,,
204,2404037,348,3.213712960987233,right,fixation,3.0,51.0,520.842090909091,616.928352272727,,,,,8.0,4.5595787693980965,15.379499324687412
205,2404045,332,3.2138797914646564,left,fixation,3.0,,532.69819047619,612.176261904762,,,,,3.0,7.6501880304269765,13.283021354284324
206,2404381,20,,left,saccade,4.0,,,,540.63,612.317,460.574,612.839,,,
207,2404389,12,,right,saccade,4.0,51.0,,,510.18300000000005,626.02,455.99800000000016,625.368,,,
208,2404405,248,3.1328709677419355,left,fixation,4.0,,453.076222222222,618.042126984127,,,,,0.0,,
209,2404405,248,3.1328709677419355,right,fixation,4.0,52.0,436.34492063492104,629.356841269841,,,,,2.0,3.2413510384492046,6.883978484691798
210,2404657,24,,left,saccade,5.0,,,,447.461,611.3919999999998,646.611,612.438,,,
211,2404657,24,,right,saccade,5.0,52.0,,,446.728,633.591,647.7040000000002,632.633,,,
212,2404685,284,3.1361760563380283,left,fixation,5.0,,671.177527777778,628.946569444444,,,,,0.0,,
213,2404685,288,3.1363125000000003,right,fixation,5.0,53.0,667.298452054794,622.444397260274,,,,,3.0,3.533216141422338,10.855462772173247
214,2404973,20,,left,saccade,6.0,,,,669.355,629.35,746.967,618.799,,,
215,2404977,16,,right,saccade,6.0,53.0,,,670.466,625.45,740.6310000000003,624.51,,,
216,2404997,212,3.1445566037735846,left,fixation,6.0,,755.713574074073,618.7599259259259,,,,,0.0,,
217,2404997,216,3.1445185185185185,right,fixation,6.0,54.0,750.247836363636,633.567,,,,,0.0,,
218,2405213,20,,left,saccade,7.0,,,,757.2539999999997,624.39,851.3689999999997,623.4209999999998,,,
219,2405217,20,,right,saccade,7.0,54.0,,,752.425,636.614,840.815,625.999,,,
220,2405237,264,3.143583333333333,left,fixation,7.0,,859.235567164179,617.468985074627,,,,,0.0,,
221,2405241,260,3.143984615384615,right,fixation,7.0,55.0,857.994151515152,630.996848484849,,,,,2.0,3.013781295001853,8.894078101575174
222,2405505,24,,left,saccade,8.0,,,,851.453,607.898,637.452,624.928,,,
223,2405505,28,,right,saccade,8.0,55.0,,,849.53,632.738,636.247,637.406,,,
224,2405533,296,3.24797972972973,left,fixation,8.0,,630.180306666667,644.841013333333,,,,,1.0,4.688951985489147,13.796245938660354
225,2405537,292,3.2485547945205484,right,fixation,8.0,56.0,625.875743243243,641.3871351351349,,,,,2.0,4.171492025843791,17.559715057068363
226,2405833,20,,left,saccade,9.0,,,,620.762,627.683,732.091,621.431,,,
227,2405833,20,,right,saccade,9.0,56.0,,,620.433,632.188,737.38,625.472,,,
