,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
118,1386592,24,,right,saccade,1.0,30.0,,,474.38800000000003,531.966,402.51199999999994,691.8919999999997,,,
119,1386596,20,,left,saccade,1.0,,,,506.06,513.249,421.184,673.071,,,
120,1386620,456,3.334714008294779,left,fixation,1.0,,413.271860869565,683.977965217392,,,,,2.0,6.048080901470617,16.633681660235027
121,1386620,464,3.334714008294779,right,fixation,1.0,31.0,374.650743589744,688.3871452991458,,,,,1.0,4.788690707745121,14.803299125532774
122,1387080,44,,left,saccade,2.0,,,,392.86,687.618,399.397,628.635,,,
123,1387088,56,,right,saccade,2.0,31.0,,,361.579,695.199,357.999,652.501,,,
124,1387204,676,3.3505492477003624,right,fixation,2.0,32.0,369.730305882353,696.590794117648,,,,,1.0,7.149531338564205,17.515626451828744
125,1387236,644,3.3505492477003616,left,fixation,2.0,,397.576419753086,673.5136296296299,,,,,3.0,4.783570883671602,12.534412955819196
126,1387884,24,,left,saccade,3.0,,,,394.76099999999997,675.562,507.221,778.487,,,
127,1387884,24,,right,saccade,3.0,32.0,,,370.972,723.947,478.315,791.317,,,
128,1387912,472,3.3506355932203387,left,fixation,3.0,,502.685731092437,804.121773109243,,,,,3.0,3.47768641984365,8.507045258088269
129,1387912,472,3.3506355932203387,right,fixation,3.0,33.0,459.684798319328,812.5890336134462,,,,,2.0,8.145727231905372,27.635757079829787
130,1388388,24,,left,saccade,4.0,,,,497.673,817.552,667.918,810.5160000000003,,,
131,1388388,24,,right,saccade,4.0,33.0,,,445.673,808.497,646.809,815.846,,,
132,1388416,380,3.350715789473684,right,fixation,4.0,34.0,675.507072916667,822.864197916667,,,,,1.0,6.131208157632786,29.413300732831594
133,1388416,384,3.3506197916666665,left,fixation,4.0,,709.980030927835,812.254164948454,,,,,0.0,,
134,1388800,36,,right,saccade,5.0,34.0,,,704.485,840.794,408.967,722.302,,,
135,1388804,32,,left,saccade,5.0,,,,713.678,808.475,437.829,720.2760000000003,,,
136,1388840,2904,3.301601788170564,left,fixation,5.0,,405.132977991747,683.610664374139,,,,,7.0,6.4898408757889365,17.30200317169166
137,1388840,2904,3.301601788170564,right,fixation,5.0,35.0,370.54828198074205,706.198209078405,,,,,4.0,4.2441979353776365,15.391723887973333
138,1391748,60,,left,saccade,6.0,,,,398.99,683.0369999999998,832.8439999999997,39.774,,,
139,1391748,60,,right,saccade,6.0,35.0,,,393.534,735.554,864.2310000000001,94.77,,,
142,1391964,20,,left,saccade,7.0,,,,846.245,41.047,948.0239999999999,48.43899999999999,,,
143,1391968,16,,right,saccade,7.0,36.0,,,877.553,82.73100000000002,941.8660000000001,68.944,,,
146,1392284,56,,right,saccade,8.0,37.0,,,943.0110000000001,83.021,1374.7120000000002,797.961,,,
147,1392288,56,,left,saccade,8.0,,,,970.43,79.703,1328.3020000000001,825.705,,,
148,1392344,128,3.256234375,right,fixation,6.0,38.0,1360.2957575757598,812.1936969696968,,,,,1.0,3.860721356027754,6.235256931354218
149,1392348,128,3.255796875,left,fixation,6.0,,1362.8826666666698,857.784393939394,,,,,0.0,,
150,1392476,16,,right,saccade,9.0,38.0,,,1368.9229999999998,804.324,1436.491,790.7769999999997,,,
151,1392480,16,,left,saccade,9.0,,,,1373.595,858.432,1437.287,851.365,,,
152,1392496,328,3.2513253718835116,right,fixation,7.0,39.0,1428.148,799.694542168675,,,,,2.0,6.525236856872512,11.157954852456033
153,1392500,316,3.2513955621933013,left,fixation,7.0,,1453.799875,850.7149625,,,,,0.0,,
157,1392968,148,3.276905567300916,left,fixation,8.0,,1470.40265789474,632.4121052631581,,,,,1.0,5.329723280809263,18.54662958599222
159,1393120,44,,right,saccade,10.0,40.0,,,1470.6860000000001,617.619,1442.61,118.632,,,
160,1393168,140,3.3388571428571434,right,fixation,8.0,41.0,1436.33455555556,99.77219444444441,,,,,0.0,,
161,1393168,312,3.35098717948718,left,fixation,9.0,,1493.5455063291101,102.591379746835,,,,,3.0,7.977712600467224,29.85300148186568
162,1393312,12,,right,saccade,11.0,41.0,,,1443.736,106.564,1495.856,106.76799999999999,,,
163,1393328,152,3.3608421052631585,right,fixation,9.0,42.0,1513.60430769231,93.6115897435897,,,,,0.0,,
164,1393484,20,,left,saccade,10.0,,,,1533.799,99.741,1404.619,90.936,,,
165,1393484,20,,right,saccade,12.0,42.0,,,1506.826,98.066,1406.37,94.579,,,
166,1393508,192,3.3402653061224483,left,fixation,10.0,,1403.39706122449,85.4815714285714,,,,,0.0,,
167,1393508,192,3.3402653061224483,right,fixation,10.0,43.0,1384.9870816326502,95.7586326530612,,,,,0.0,,
168,1393704,52,,left,saccade,11.0,,,,1403.858,67.528,1303.397,819.757,,,
169,1393704,52,,right,saccade,13.0,43.0,,,1399.7920000000001,67.279,1294.635,795.935,,,
170,1393760,136,3.3379558823529414,right,fixation,11.0,44.0,1265.7088571428599,821.2610000000003,,,,,1.0,4.97896987616692,29.286913971943175
171,1393760,140,3.337914285714286,left,fixation,11.0,,1286.81744444444,843.710888888889,,,,,0.0,,
172,1393900,24,,right,saccade,14.0,44.0,,,1246.447,828.832,1408.774,813.43,,,
173,1393904,20,,left,saccade,12.0,,,,1286.902,848.53,1420.3929999999998,843.935,,,
174,1393928,408,3.3420245098039216,left,fixation,12.0,,1433.61329126214,826.156436893204,,,,,0.0,,
175,1393928,412,3.3422815533980583,right,fixation,12.0,45.0,1407.83829807692,801.950432692308,,,,,1.0,7.0746629601698965,14.366228767494974
176,1394340,64,,left,saccade,13.0,,,,1429.56,829.508,452.565,748.191,,,
177,1394344,64,,right,saccade,15.0,45.0,,,1392.7620000000006,798.94,411.60699999999997,747.2339999999997,,,
178,1394408,556,3.4139820143884894,left,fixation,13.0,,414.9434928571431,704.0572000000011,,,,,4.0,6.325617824691591,21.46991968180229
179,1394412,548,3.4143138686131387,right,fixation,13.0,46.0,378.1486014492749,701.702644927536,,,,,1.0,13.614420913338758,53.55070017282685
180,1394964,68,,right,saccade,16.0,46.0,,,382.116,691.307,1426.4820000000002,821.193,,,
181,1394968,64,,left,saccade,14.0,,,,396.18300000000005,683.086,1429.717,837.053,,,
182,1395036,700,3.3296628571428566,left,fixation,14.0,,1433.56971022727,833.3374431818179,,,,,3.0,5.4566721613683065,16.187730644893474
183,1395036,704,3.3295227272727272,right,fixation,14.0,47.0,1430.4939209039499,823.4755875706212,,,,,1.0,7.514160945988729,48.22140000041486
184,1395740,76,,left,saccade,15.0,,,,1448.18,857.6510000000003,358.097,725.8389999999997,,,
185,1395744,72,,right,saccade,17.0,47.0,,,1425.318,791.0360000000003,345.32599999999996,714.757,,,
186,1395820,4,3.3,left,fixation,15.0,,354.25199999999984,714.855,,,,,0.0,,
187,1395820,1332,3.3400465465465468,right,fixation,15.0,48.0,366.190488023952,694.6306107784419,,,,,2.0,8.362557968695668,27.711792823208253
188,1395828,0,,left,saccade,16.0,,,,352.398,696.363,352.398,696.363,,,
189,1395832,124,3.303629032258064,left,fixation,16.0,,342.4819375,670.32546875,,,,,0.0,,
190,1395960,16,,left,saccade,17.0,,,,345.918,670.209,398.668,674.807,,,
191,1395980,1176,3.344770408163265,left,fixation,17.0,,403.89492881355903,686.93632881356,,,,,5.0,3.7268642781535952,10.203335950738458
192,1397156,68,,right,saccade,18.0,48.0,,,364.13300000000004,704.314,1490.6879999999999,827.47,,,
193,1397160,64,,left,saccade,18.0,,,,417.99300000000005,679.2560000000002,1493.76,850.952,,,
195,1397228,144,3.422097222222221,right,fixation,16.0,49.0,1483.92089189189,849.4322702702701,,,,,0.0,,
196,1397364,16,,left,saccade,19.0,,,,1522.506,846.3510000000001,1461.349,842.895,,,
197,1397376,0,,right,saccade,19.0,49.0,,,1464.604,817.179,1464.604,817.179,,,
198,1397380,2035,3.380312007874016,right,fixation,17.0,50.0,1438.56820980392,819.752076470586,,,,,1.0,3.8902445652911584,8.723693025319092
199,1397384,2031,3.3802268244575937,left,fixation,18.0,,1446.8711689587399,833.718538310412,,,,,0.0,,
200,1399419,24,,left,saccade,20.0,,,,1472.894,847.3710000000003,1210.212,842.092,,,
201,1399419,36,,right,saccade,20.0,50.0,,,1440.645,810.387,1178.809,807.3710000000003,,,
202,1399447,1252,3.413769968051118,left,fixation,19.0,,1222.42387261146,833.4884044585989,,,,,2.0,5.572235196265464,20.65418122785211
203,1399459,1244,3.41382154340836,right,fixation,18.0,51.0,1201.94825641026,804.783759615384,,,,,4.0,5.0365340093502935,13.726850999394596
204,1400703,28,,left,saccade,21.0,,,,1224.337,826.186,940.2139999999999,826.8489999999997,,,
205,1400707,28,,right,saccade,21.0,51.0,,,1182.24,791.558,933.27,810.96,,,
206,1400735,176,3.4947435897435897,left,fixation,20.0,,940.732688888889,839.294622222222,,,,,1.0,2.588405370321864,4.908594197934796
207,1400739,180,3.496027027027027,right,fixation,19.0,52.0,920.245260869565,822.989108695653,,,,,0.0,,
208,1400915,40,,left,saccade,22.0,,,,924.91,839.948,939.53,791.2919999999997,,,
209,1400923,40,,right,saccade,22.0,52.0,,,901.518,827.94,936.7139999999999,794.09,,,
210,1401027,300,3.5602545386346582,right,fixation,20.0,53.0,930.8584605263161,822.395197368421,,,,,0.0,,
211,1401051,272,3.560381012011245,left,fixation,21.0,,941.181289855072,837.78020289855,,,,,0.0,,
212,1401327,28,,left,saccade,23.0,,,,939.73,847.2439999999997,730.06,820.232,,,
213,1401331,24,,right,saccade,23.0,53.0,,,919.045,836.328,704.937,822.6110000000001,,,
214,1401359,404,3.3800396039603964,right,fixation,21.0,54.0,682.516450980392,786.1163137254903,,,,,3.0,4.719481353253288,12.88868064752032
215,1401359,408,3.37925,left,fixation,22.0,,713.025825242718,803.024359223301,,,,,2.0,3.843973733785317,15.872852403892633
216,1401767,28,,right,saccade,24.0,54.0,,,685.763,756.0039999999997,490.099,768.945,,,
217,1401771,24,,left,saccade,24.0,,,,708.836,808.9730000000003,504.11199999999997,819.3530000000003,,,
218,1401799,1104,3.3185833333333337,left,fixation,23.0,,495.55724548736504,812.032758122744,,,,,3.0,4.475833540363695,14.492770859439435
