,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,20395740,24,,left,saccade,1.0,,,,477.92900000000003,282.69599999999997,425.57199999999995,197.687,,,
11,20395744,20,,right,saccade,1.0,3.0,,,468.30699999999996,296.301,434.731,195.10299999999998,,,
12,20395768,484,3.310161157024793,left,fixation,1.0,,420.067032786885,171.638,,,,,0.0,,
13,20395768,484,3.310161157024793,right,fixation,1.0,4.0,406.486180327869,167.842270491803,,,,,0.0,,
14,20396256,24,,left,saccade,2.0,,,,420.983,166.78099999999995,478.668,263.33299999999997,,,
15,20396256,24,,right,saccade,2.0,4.0,,,403.665,167.696,438.899,283.203,,,
16,20396284,300,3.28082,left,fixation,2.0,,515.472144736842,278.235763157895,,,,,0.0,,
17,20396284,300,3.28082,right,fixation,2.0,5.0,474.339342105263,293.724039473684,,,,,0.0,,
18,20396588,24,,left,saccade,3.0,,,,497.26300000000003,254.447,413.64599999999996,197.858,,,
19,20396588,24,,right,saccade,3.0,5.0,,,493.03,300.254,431.903,200.12900000000002,,,
20,20396616,2168,3.402249077490775,left,fixation,3.0,,415.7329981583789,158.723977900553,,,,,0.0,,
21,20396616,2168,3.402249077490775,right,fixation,3.0,6.0,411.5981381215471,165.667848987108,,,,,5.0,4.349245019595549,11.68468976933529
22,20398788,24,,right,saccade,4.0,6.0,,,389.125,157.066,486.478,230.313,,,
23,20398788,28,,left,saccade,4.0,,,,429.976,141.201,514.276,215.592,,,
24,20398816,428,3.4777037037037037,right,fixation,4.0,7.0,500.586907407408,278.153666666667,,,,,0.0,,
25,20398820,424,3.4772663551401872,left,fixation,4.0,,516.580009345794,250.937327102804,,,,,0.0,,
26,20399248,24,,left,saccade,5.0,,,,508.366,255.488,730.07,252.53799999999998,,,
27,20399248,24,,right,saccade,5.0,7.0,,,512.492,293.39099999999996,716.3530000000003,284.9890000000001,,,
28,20399276,188,3.3542978723404264,left,fixation,5.0,,738.757,238.295854166667,,,,,0.0,,
29,20399276,188,3.3542978723404264,right,fixation,5.0,8.0,736.268375,282.24702083333403,,,,,0.0,,
30,20399468,28,,left,saccade,6.0,,,,748.68,244.178,488.403,193.69099999999997,,,
31,20399468,36,,right,saccade,6.0,8.0,,,736.1310000000003,285.508,478.151,215.044,,,
32,20399500,664,3.3994487951807235,left,fixation,6.0,,429.48144910179604,158.48705389221502,,,,,1.0,5.3851906625691655,18.95563900268203
33,20399508,656,3.3996981707317078,right,fixation,6.0,9.0,426.986018181818,168.342684848485,,,,,2.0,4.881930315593905,18.844001617742276
34,20400168,24,,left,saccade,7.0,,,,425.972,160.139,497.43,282.291,,,
35,20400168,24,,right,saccade,7.0,9.0,,,401.727,171.389,472.13699999999994,265.512,,,
36,20400196,568,3.348271126760564,left,fixation,7.0,,522.370405594406,289.32058741258703,,,,,0.0,,
37,20400196,572,3.3481118881118883,right,fixation,7.0,10.0,503.859354166667,292.626159722222,,,,,0.0,,
38,20400768,32,,left,saccade,8.0,,,,529.985,286.941,396.394,184.959,,,
39,20400772,24,,right,saccade,8.0,10.0,,,496.63300000000004,283.23,412.12699999999995,175.641,,,
40,20400800,1940,3.4257103092783505,right,fixation,8.0,11.0,406.54252469135804,139.07623251028798,,,,,4.0,4.1737467730827005,12.579912441995218
41,20400804,1936,3.4258987603305786,left,fixation,8.0,,415.68872371134,157.805748453608,,,,,3.0,3.941932595142235,11.32240071078727
42,20402744,36,,left,saccade,9.0,,,,419.37,169.74400000000003,733.457,237.915,,,
43,20402744,36,,right,saccade,9.0,11.0,,,414.985,134.226,757.408,265.047,,,
44,20402784,1164,3.3401975945017184,left,fixation,9.0,,742.133284246575,255.875448630137,,,,,1.0,4.939194898968848,11.449773141857426
45,20402784,1168,3.3400736301369864,right,fixation,9.0,12.0,719.965887372014,268.448662116041,,,,,1.0,9.902740047302308,50.7648016838439
46,20403952,28,,left,saccade,10.0,,,,735.0830000000003,234.523,478.78,215.637,,,
47,20403956,32,,right,saccade,10.0,12.0,,,711.212,264.32599999999996,478.74699999999996,213.05200000000002,,,
48,20403984,1564,3.416090792838875,left,fixation,10.0,,424.78569387755,165.238426020408,,,,,3.0,5.631255293983872,13.862595982796474
49,20403992,1556,3.4165629820051415,right,fixation,10.0,13.0,411.7340589743589,156.26697692307698,,,,,4.0,5.657350104135079,24.80029634826453
50,20405552,32,,left,saccade,11.0,,,,404.781,167.835,673.677,224.076,,,
51,20405552,32,,right,saccade,11.0,13.0,,,405.865,159.75799999999995,673.4730000000002,240.27,,,
