,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
34,594757,36,,right,saccade,1.0,9.0,,,580.934,138.085,481.875,393.602,,,
35,594757,40,,left,saccade,1.0,,,,593.972,136.12,490.16900000000004,430.906,,,
36,594797,640,3.4848718750000005,right,fixation,1.0,10.0,510.138391304348,356.012621118013,,,,,2.0,9.404737021791133,25.506070318317565
37,594801,136,3.5138000000000003,left,fixation,1.0,,508.369057142857,436.902657142857,,,,,1.0,4.108626172795199,10.619854989593703
38,594941,4,,left,saccade,2.0,,,,513.962,413.968,513.962,397.287,,,
39,594949,492,3.4752459016393438,left,fixation,2.0,,532.922612903226,372.763306451613,,,,,2.0,5.918450635773588,18.137397983660666
40,595441,24,,right,saccade,2.0,10.0,,,531.864,341.272,507.38599999999997,533.712,,,
41,595445,20,,left,saccade,3.0,,,,546.9590000000002,368.63,517.769,499.30300000000005,,,
42,595469,407,3.4652821782178216,left,fixation,3.0,,515.343038834952,501.43232038835,,,,,0.0,,
43,595469,407,3.4652821782178216,right,fixation,2.0,11.0,489.95553398058297,511.082553398058,,,,,2.0,6.481496950318168,18.92023028168321
44,595880,20,,right,saccade,3.0,11.0,,,505.135,501.17400000000004,508.301,368.861,,,
45,595880,24,,left,saccade,4.0,,,,519.658,496.477,519.355,368.67400000000004,,,
47,595908,717,3.347886111111112,left,fixation,4.0,,532.552716666666,364.23725,,,,,3.0,6.739835015483455,18.335745942418274
48,596625,24,,right,saccade,4.0,12.0,,,522.922,325.962,500.44800000000004,462.509,,,
49,596629,20,,left,saccade,5.0,,,,547.115,362.374,524.629,488.48800000000006,,,
50,596653,508,3.460275590551181,left,fixation,5.0,,507.4119375,492.50125,,,,,0.0,,
51,596653,508,3.460275590551181,right,fixation,3.0,13.0,491.4426171875,492.7639375,,,,,0.0,,
52,597165,20,,left,saccade,6.0,,,,522.059,497.27,533.611,402.195,,,
53,597165,20,,right,saccade,5.0,13.0,,,497.74199999999996,448.48800000000006,523.68,353.517,,,
54,597189,595,3.358668918918919,left,fixation,6.0,,552.4444599999998,368.82116,,,,,0.0,,
55,597189,595,3.358668918918919,right,fixation,4.0,14.0,536.479526666667,356.83362,,,,,0.0,,
56,597788,24,,left,saccade,7.0,,,,545.5269999999998,350.14099999999996,708.8989999999999,482.616,,,
57,597788,24,,right,saccade,6.0,14.0,,,550.3919999999998,389.67900000000003,708.6389999999999,468.91900000000004,,,
58,597816,369,3.4511451612903232,right,fixation,5.0,15.0,726.081913978495,498.096430107527,,,,,0.0,,
59,597816,373,3.4514468085106387,left,fixation,7.0,,734.4772234042557,496.540223404256,,,,,1.0,5.219116190080023,19.018621664042772
60,598189,24,,right,saccade,7.0,15.0,,,729.6419999999997,513.9019999999998,929.5310000000001,512.27,,,
61,598193,24,,left,saccade,8.0,,,,738.947,465.668,958.3480000000001,471.67199999999997,,,
62,598217,243,3.4457416666666663,right,fixation,6.0,16.0,958.216774193549,500.313580645161,,,,,1.0,9.49000078006086,13.35418050649298
63,598221,239,3.4454999999999987,left,fixation,8.0,,972.0792786885248,499.530360655738,,,,,0.0,,
64,598464,32,,left,saccade,9.0,,,,966.429,464.401,603.5930000000002,383.01099999999997,,,
65,598464,32,,right,saccade,8.0,16.0,,,956.8330000000001,511.36800000000005,617.0369999999998,372.341,,,
67,598500,409,3.3001650485436897,left,fixation,9.0,,571.822203883495,374.58981553398087,,,,,2.0,3.7047159865632864,8.566520760258808
68,598909,48,,right,saccade,9.0,17.0,,,543.599,329.17699999999996,1186.239,451.152,,,
69,598913,44,,left,saccade,10.0,,,,549.53,334.782,1200.789,483.14,,,
70,598961,587,3.4060479452054797,left,fixation,10.0,,1213.53125,488.212,,,,,0.0,,
71,598961,587,3.4060479452054797,right,fixation,7.0,18.0,1198.29414864865,480.819560810811,,,,,1.0,7.147403034591568,20.867917433227415
72,599552,24,,left,saccade,11.0,,,,1221.131,491.814,1434.7939999999999,490.42800000000005,,,
73,599552,24,,right,saccade,10.0,18.0,,,1212.469,473.097,1413.484,465.74800000000016,,,
74,599580,1824,3.4249660831509847,left,fixation,11.0,,1442.5007352297598,452.32544201312896,,,,,4.0,9.474027541080094,29.28420399128927
75,599580,1824,3.4249660831509847,right,fixation,8.0,19.0,1433.26416849015,444.534636761487,,,,,5.0,4.401563406982463,10.498958605437462
