,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
48,16234036,36,,right,saccade,1.0,13.0,,,957.133,248.28099999999998,447.50699999999995,361.704,,,
49,16234036,40,,left,saccade,1.0,,,,989.2189999999999,229.233,473.531,353.37699999999984,,,
50,16234076,307,3.1373223684210534,right,fixation,1.0,14.0,428.7596538461541,373.67071794871805,,,,,1.0,4.502297499919105,11.324599772177331
51,16234080,303,3.1376266666666663,left,fixation,1.0,,417.140883116883,358.936363636364,,,,,1.0,9.096754940331431,50.52852827858731
52,16234387,16,,right,saccade,2.0,14.0,,,427.51099999999997,372.755,501.44699999999995,372.755,,,
53,16234387,20,,left,saccade,2.0,,,,406.815,350.652,502.42199999999997,353.858,,,
54,16234407,540,3.1147222222222224,right,fixation,2.0,15.0,512.874529411765,380.278926470588,,,,,0.0,,
55,16234411,536,3.1145597014925372,left,fixation,2.0,,522.307481481481,378.642444444444,,,,,2.0,5.523496488821862,14.118579198285415
56,16234951,20,,left,saccade,3.0,,,,532.641,389.92900000000003,514.8580000000002,461.41900000000004,,,
57,16234951,20,,right,saccade,3.0,15.0,,,518.87,382.005,474.61199999999997,463.26199999999994,,,
58,16234975,196,3.0819591836734697,left,fixation,3.0,,480.22475999999995,461.4579,,,,,2.0,6.888889464225737,18.454810673513176
59,16234975,196,3.0819591836734697,right,fixation,3.0,16.0,471.03124,470.7194,,,,,0.0,,
60,16235175,28,,left,saccade,4.0,,,,459.004,427.176,707.887,440.913,,,
61,16235175,28,,right,saccade,4.0,16.0,,,484.69,462.88,706.291,455.504,,,
62,16235207,332,3.0420000000000003,left,fixation,4.0,,732.465428571429,463.918130952381,,,,,0.0,,
63,16235207,336,3.0419702380952383,right,fixation,4.0,17.0,718.326870588235,453.637223529412,,,,,0.0,,
64,16235543,28,,left,saccade,5.0,,,,729.4739999999997,465.327,549.395,404.81199999999995,,,
65,16235547,24,,right,saccade,5.0,17.0,,,706.655,440.473,539.322,405.725,,,
66,16235575,788,3.085687817258884,left,fixation,5.0,,523.668823232323,383.841929292929,,,,,1.0,7.320985866367701,27.2430080754677
67,16235575,1192,3.0833942953020133,right,fixation,5.0,18.0,491.596806020067,380.39660535117,,,,,4.0,6.453878331153655,19.277211323085783
68,16236367,12,,left,saccade,6.0,,,,507.154,388.485,454.881,388.37300000000016,,,
69,16236383,380,3.0786842105263164,left,fixation,6.0,,442.4270625,362.547104166667,,,,,0.0,,
70,16236767,12,,left,saccade,7.0,,,,450.48,381.156,392.44800000000004,385.494,,,
71,16236771,4,,right,saccade,6.0,18.0,,,437.458,382.186,411.092,381.765,,,
72,16236779,496,3.1175887096774195,right,fixation,6.0,19.0,426.080856,375.880912,,,,,2.0,6.442432724142012,21.2423373602654
73,16236783,496,3.1181209677419357,left,fixation,7.0,,418.83076,357.859296,,,,,2.0,9.457025379377153,33.464215287495215
