,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
37,2114960,52,,left,saccade,1.0,,,,1223.89,239.173,429.83099999999996,457.12800000000004,,,
38,2114964,52,,right,saccade,1.0,10.0,,,1200.056,254.895,416.966,459.634,,,
39,2115016,1119,3.6595342450789774,left,fixation,1.0,,414.02584341637015,441.54640213523203,,,,,3.0,6.354853723416233,21.88629121723785
40,2115020,1103,3.65922300454037,right,fixation,1.0,10.0,386.69344043321297,446.873844765343,,,,,7.0,4.6673035397514715,16.17028272976859
41,2116127,68,,right,saccade,2.0,11.0,,,379.88,447.985,374.361,402.952,,,
42,2116139,40,,left,saccade,2.0,,,,401.73900000000003,414.75300000000004,415.92199999999997,411.41900000000004,,,
43,2116239,392,3.546238805970149,left,fixation,2.0,,438.0963333333329,434.02957575757597,,,,,2.0,3.0091619823577327,5.658717617780218
44,2116271,356,3.54580303030303,right,fixation,2.0,11.0,408.85413333333395,423.808066666667,,,,,2.0,5.938166966408242,22.6652672412709
45,2116631,28,,right,saccade,3.0,12.0,,,416.98400000000004,413.347,564.511,522.4630000000002,,,
46,2116635,24,,left,saccade,3.0,,,,442.458,448.577,574.2080000000002,522.871,,,
47,2116663,124,3.6036129032258057,left,fixation,3.0,,597.01853125,549.71534375,,,,,3.0,4.062385632611391,10.916037071845608
48,2116663,124,3.6036129032258057,right,fixation,3.0,12.0,577.18978125,534.3254375,,,,,0.0,,
49,2116791,24,,left,saccade,4.0,,,,591.395,569.727,483.874,577.34,,,
50,2116791,24,,right,saccade,4.0,13.0,,,579.302,537.429,450.958,556.263,,,
51,2116819,160,3.625525000000001,right,fixation,4.0,13.0,450.348658536585,564.883390243902,,,,,0.0,,
52,2116819,164,3.626146341463415,left,fixation,4.0,,473.43,574.411666666667,,,,,1.0,3.3968754965245487,3.8092697462899943
53,2116983,37,,right,saccade,5.0,14.0,,,449.934,562.3969999999998,888.079,584.635,,,
54,2116987,36,,left,saccade,5.0,,,,471.84,571.996,866.6360000000003,581.372,,,
55,2117023,420,3.774809523809524,right,fixation,5.0,14.0,925.2588679245281,563.310141509434,,,,,3.0,6.76322018572543,25.04056660644157
56,2117027,416,3.775413461538462,left,fixation,5.0,,936.701190476191,575.800247619048,,,,,4.0,6.35852954310813,18.447979194328347
57,2117447,52,,left,saccade,6.0,,,,960.821,570.341,419.596,506.153,,,
58,2117447,52,,right,saccade,6.0,15.0,,,956.002,536.707,390.069,486.652,,,
59,2117503,972,3.679164609053498,right,fixation,6.0,15.0,392.764413934426,430.28404098360704,,,,,7.0,5.407616851653876,15.074708323459033
60,2117503,976,3.6793545081967216,left,fixation,6.0,,415.12562857142797,455.43226122449005,,,,,5.0,7.977410142603389,30.43215801379827
61,2118479,44,,right,saccade,7.0,16.0,,,362.06800000000004,455.134,923.459,518.197,,,
62,2118483,44,,left,saccade,7.0,,,,402.135,491.411,909.3760000000001,520.81,,,
63,2118527,328,3.8501524390243897,right,fixation,7.0,16.0,945.424626506024,550.638987951807,,,,,1.0,3.07183430994863,7.077848543166167
