,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
11,19986970,40,,right,saccade,1.0,3.0,,,451.87300000000016,174.077,423.454,171.46,,,
12,19987102,336,3.9994755400561854,right,fixation,1.0,4.0,394.949082352941,157.889505882353,,,,,4.0,2.8529192322743318,10.389356847210703
14,19987442,48,,right,saccade,2.0,4.0,,,386.22,144.702,962.563,91.11,,,
15,19987446,44,,left,saccade,1.0,,,,383.33,117.682,934.1419999999999,18.915,,,
18,19987606,52,,left,saccade,2.0,,,,976.395,20.454,479.99699999999996,111.072,,,
19,19987606,52,,right,saccade,3.0,5.0,,,997.563,68.832,482.98,124.402,,,
20,19987662,500,4.0604239999999985,right,fixation,2.0,6.0,461.99139682539703,140.465642857143,,,,,3.0,7.8449637609510114,34.254126658830735
22,19988166,12,,right,saccade,4.0,6.0,,,438.78,133.846,499.249,134.064,,,
23,19988182,396,4.114015151515152,right,fixation,3.0,7.0,508.87672000000003,146.09325,,,,,2.0,2.9713206387027653,10.166531723799412
24,19988582,24,,right,saccade,5.0,7.0,,,516.383,143.283,715.7180000000003,220.951,,,
25,19988582,28,,left,saccade,3.0,,,,491.32199999999995,124.25299999999999,685.56,197.91299999999998,,,
26,19988610,396,4.1333939393939385,right,fixation,4.0,8.0,734.78985,273.47269,,,,,1.0,4.929858046750562,41.5546735879372
27,19988614,392,4.133239795918367,left,fixation,1.0,,715.541525252525,233.06603030302998,,,,,2.0,3.6507304508801615,10.275486254254568
28,19989010,32,,left,saccade,4.0,,,,721.9789999999997,247.736,538.3919999999998,143.628,,,
29,19989010,40,,right,saccade,6.0,8.0,,,725.845,287.728,540.123,165.632,,,
31,19989054,400,4.14810396039604,right,fixation,5.0,9.0,518.877485148515,142.973900990099,,,,,1.0,2.9421143427058487,12.398104693863475
32,19989458,32,,right,saccade,7.0,9.0,,,517.99,137.238,735.7139999999997,214.917,,,
33,19989462,28,,left,saccade,5.0,,,,498.32099999999997,102.492,717.89,169.614,,,
34,19989494,176,4.1528409090909095,left,fixation,2.0,,743.619822222222,212.216866666667,,,,,2.0,3.7387125851745266,12.394400725792108
35,19989494,176,4.1528409090909095,right,fixation,6.0,10.0,749.979466666667,259.736022222222,,,,,1.0,5.026459392830897,13.659869142857866
36,19989674,24,,right,saccade,8.0,10.0,,,750.419,266.361,933.502,273.866,,,
37,19989674,28,,left,saccade,6.0,,,,758.279,231.735,933.8739999999999,228.74099999999999,,,
38,19989702,228,4.1156578947368425,right,fixation,7.0,11.0,943.900586206896,270.33308620689604,,,,,1.0,2.572862850989138,5.369279281244266
39,19989706,224,4.1155357142857145,left,fixation,3.0,,946.662421052632,229.061631578947,,,,,2.0,2.0323766283292084,4.503404385158778
40,19989934,20,,right,saccade,9.0,11.0,,,942.6310000000001,279.58099999999996,1110.3239999999996,281.4790000000001,,,
41,19989934,24,,left,saccade,7.0,,,,959.198,234.78099999999998,1118.519,236.451,,,
42,19989958,260,4.092804687499998,right,fixation,8.0,12.0,1154.79128787879,261.15292424242404,,,,,3.0,4.228683397847458,29.534856487582044
43,19989962,256,4.092650793650794,left,fixation,4.0,,1171.2557538461501,236.122030769231,,,,,2.0,6.139334071641956,29.006826464194578
44,19990222,52,,left,saccade,8.0,,,,1197.5839999999996,230.888,528.765,248.392,,,
45,19990222,52,,right,saccade,10.0,12.0,,,1177.4560000000001,264.597,528.429,250.37900000000002,,,
46,19990278,212,4.141396226415095,right,fixation,9.0,13.0,502.092981481482,261.804037037037,,,,,2.0,3.3089777852665097,10.194769477540326
47,19990278,216,4.141981481481482,left,fixation,5.0,,495.39169090909104,243.169290909091,,,,,1.0,3.274055712042105,16.92188361264784
