,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
88,21266589,40,,right,saccade,1.0,22.0,,,931.446,217.28099999999998,408.723,417.409,,,
90,21266633,332,3.664975689146576,right,fixation,1.0,23.0,397.448083333333,424.735154761905,,,,,0.0,,
93,21266969,60,,right,saccade,2.0,23.0,,,391.656,414.23699999999997,446.033,356.449,,,
95,21267105,92,,right,fixation,2.0,24.0,439.032833333333,396.6370833333329,,,,,1.0,11.099278487561461,44.60696525207696
97,21267153,752,3.572820781609195,left,fixation,1.0,,518.351031746032,357.947857142857,,,,,1.0,7.626295248823141,37.427336373298076
98,21267201,20,,right,saccade,3.0,24.0,,,428.249,406.472,497.86800000000005,423.434,,,
99,21267225,680,3.5702807017543856,right,fixation,3.0,25.0,513.918684210527,442.731929824561,,,,,1.0,8.102349126093682,42.95061620046909
100,21267909,32,,right,saccade,4.0,25.0,,,518.49,460.756,750.1239999999997,493.55699999999996,,,
101,21267909,40,,left,saccade,1.0,,,,526.172,382.849,771.2130000000003,455.01599999999996,,,
102,21267945,280,3.5697,right,fixation,4.0,26.0,764.119154929577,523.761718309859,,,,,2.0,7.9780609629672465,23.323870045340968
103,21267953,272,3.570992647058824,left,fixation,2.0,,772.199014492754,481.8484492753621,,,,,2.0,5.6194150676625645,11.550830074944699
104,21268229,28,,right,saccade,5.0,26.0,,,734.8430000000003,520.312,941.5089999999999,502.981,,,
105,21268229,32,,left,saccade,2.0,,,,750.47,493.67900000000003,954.916,492.11199999999997,,,
106,21268261,520,3.6161666666666665,right,fixation,5.0,27.0,964.705656488549,516.895877862596,,,,,0.0,,
107,21268265,516,3.61636328125,left,fixation,3.0,,963.279615384615,489.247523076924,,,,,1.0,6.156112827010956,25.25306660585996
108,21268785,40,,left,saccade,3.0,,,,943.967,496.816,479.093,354.161,,,
109,21268785,44,,right,saccade,6.0,27.0,,,950.828,522.659,492.56300000000016,393.906,,,
110,21268829,1492,3.4985106951871656,left,fixation,4.0,,527.63777540107,361.091534759358,,,,,2.0,7.453693762151178,31.3355169203255
111,21268833,1672,3.5040714285714287,right,fixation,6.0,28.0,501.405093078759,418.12495704057295,,,,,3.0,9.130668928634117,33.1648538187321
112,21270325,12,,left,saccade,4.0,,,,530.444,387.23400000000004,487.074,385.5,,,
113,21270341,160,3.6125714285714285,left,fixation,5.0,,473.74124390243895,365.514121951219,,,,,0.0,,
114,21270505,44,,left,saccade,5.0,,,,464.913,369.41900000000004,315.748,427.587,,,
115,21270509,40,,right,saccade,7.0,28.0,,,466.103,425.538,450.44,438.651,,,
116,21270661,216,3.6531942717059,right,fixation,7.0,29.0,471.361345454546,472.06258181818197,,,,,3.0,8.004810156324789,47.42361218610898
120,21270733,24,,left,saccade,6.0,,,,419.099,314.798,476.598,457.44199999999995,,,
121,21270761,120,3.6522745262967486,left,fixation,6.0,,485.508451612903,470.63861290322603,,,,,0.0,,
122,21270881,32,,right,saccade,8.0,29.0,,,452.494,486.315,795.715,481.19800000000004,,,
123,21270885,36,,left,saccade,7.0,,,,508.925,491.74800000000016,813.9069999999997,505.374,,,
124,21270917,108,3.6695370370370366,right,fixation,8.0,30.0,806.433964285714,481.51653571428596,,,,,0.0,,
125,21270925,96,3.669833333333333,left,fixation,7.0,,830.16132,501.23712,,,,,0.0,,
126,21271025,20,,left,saccade,8.0,,,,826.6610000000003,497.39,760.27,505.00699999999995,,,
127,21271029,16,,right,saccade,9.0,30.0,,,799.498,498.515,726.059,495.704,,,
128,21271049,468,3.62634188034188,left,fixation,8.0,,735.350237288136,506.69918644067803,,,,,2.0,6.041081975430022,18.00863875237952
129,21271049,468,3.62634188034188,right,fixation,9.0,31.0,716.9358728813562,512.062144067797,,,,,0.0,,
130,21271521,24,,right,saccade,10.0,31.0,,,716.482,514.433,901.9960000000001,517.758,,,
131,21271521,32,,left,saccade,9.0,,,,735.178,496.844,921.757,512.198,,,
132,21271549,1880,3.5036212765957453,right,fixation,10.0,32.0,934.281297239915,508.153371549894,,,,,0.0,,
133,21271557,1872,3.5035202991452987,left,fixation,9.0,,953.7728848614079,493.942236673774,,,,,4.0,11.826078456855823,48.26279798224162
134,21273433,32,,left,saccade,10.0,,,,947.454,469.936,522.749,399.528,,,
135,21273433,36,,right,saccade,11.0,32.0,,,927.492,489.015,531.487,427.644,,,
136,21273469,316,3.6640759493670885,left,fixation,10.0,,500.6448125,377.1966,,,,,0.0,,
137,21273473,312,3.664070512820513,right,fixation,11.0,33.0,511.5301012658229,408.27215189873397,,,,,0.0,,
138,21273789,36,,right,saccade,12.0,33.0,,,504.25199999999995,409.778,941.8589999999999,434.341,,,
139,21273789,40,,left,saccade,11.0,,,,512.2769999999998,379.72,936.809,396.33,,,
140,21273829,216,3.6636388888888884,right,fixation,12.0,34.0,942.9467454545461,446.35627272727305,,,,,0.0,,
141,21273833,216,3.6628148148148143,left,fixation,11.0,,959.0487454545447,423.374527272727,,,,,0.0,,
142,21274049,40,,right,saccade,13.0,34.0,,,949.2919999999999,448.36199999999997,1447.6370000000006,486.343,,,
143,21274053,40,,left,saccade,12.0,,,,960.12,421.665,1453.1589999999999,475.716,,,
144,21274093,356,3.536230555555555,right,fixation,13.0,35.0,1451.03176666667,480.822177777778,,,,,1.0,5.090550278593613,12.35079434692363
145,21274097,352,3.5353398876404487,left,fixation,12.0,,1455.9248876404502,500.454988764045,,,,,1.0,6.919720233586787,23.67982493600825
