,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
64,2920640,56,,left,saccade,1.0,,,,1424.9679999999994,276.27099999999996,387.639,470.254,,,
65,2920640,60,,right,saccade,1.0,16.0,,,1417.0629999999999,277.913,354.55800000000005,482.075,,,
66,2920700,163,3.6486125,left,fixation,1.0,,378.41078571428596,481.4091666666671,,,,,2.0,2.5245361351276867,7.288939263290992
67,2920704,159,3.6484615384615378,right,fixation,1.0,17.0,351.38943902438996,497.911268292683,,,,,1.0,2.470306548678621,5.741141437031502
68,2920867,12,,left,saccade,2.0,,,,366.97,483.12,387.01300000000003,436.52,,,
69,2920867,16,,right,saccade,2.0,17.0,,,352.37300000000016,498.48900000000003,376.287,451.402,,,
70,2920883,2108,3.6525749525616695,left,fixation,2.0,,417.354289772727,435.44552462121203,,,,,21.0,3.5076567573801505,10.374461611606497
71,2920887,1865,3.64725374732334,right,fixation,2.0,18.0,397.317346895075,428.11221627409,,,,,29.0,3.6691850114956255,11.454725388631255
72,2922756,16,,right,saccade,3.0,18.0,,,419.26800000000003,417.719,398.746,472.28,,,
73,2922776,199,3.694061224489796,right,fixation,3.0,19.0,387.12362745098,489.485823529412,,,,,1.0,3.5617481662801374,19.38405109877707
74,2922979,16,,right,saccade,4.0,19.0,,,407.469,483.332,432.45599999999996,533.0169999999998,,,
75,2922995,0,,left,saccade,3.0,,,,456.44,505.57099999999997,456.44,505.57099999999997,,,
76,2922999,161,3.694658536585366,left,fixation,3.0,,474.924414634146,541.4212682926831,,,,,3.0,5.925638271179807,16.632376652636555
77,2922999,161,3.694658536585366,right,fixation,4.0,20.0,454.9532195121949,555.649024390244,,,,,1.0,3.680907504346664,12.38972122365959
78,2923164,28,,left,saccade,4.0,,,,476.023,555.38,699.69,572.872,,,
79,2923164,28,,right,saccade,5.0,20.0,,,457.973,563.0980000000002,700.143,565.519,,,
80,2923196,180,3.6915444444444434,left,fixation,4.0,,710.382630434783,568.6863478260871,,,,,1.0,2.5154917787360977,5.694763384022168
81,2923196,180,3.6915444444444434,right,fixation,5.0,21.0,707.4023478260872,564.626173913043,,,,,2.0,2.516810483490707,5.701116992353058
82,2923380,44,,left,saccade,5.0,,,,703.398,575.703,1224.017,575.8430000000002,,,
83,2923380,44,,right,saccade,6.0,21.0,,,713.525,573.225,1210.865,588.41,,,
84,2923428,140,3.6544857142857134,left,fixation,5.0,,1233.21511111111,594.0257222222219,,,,,3.0,4.273566125027842,13.13155094541957
85,2923428,140,3.6544857142857134,right,fixation,6.0,22.0,1227.32475,580.241833333333,,,,,2.0,2.6067085577529334,8.36997125255493
86,2923572,28,,left,saccade,6.0,,,,1238.3339999999996,607.499,994.318,600.799,,,
87,2923572,28,,right,saccade,7.0,22.0,,,1221.881,581.36,983.0039999999999,578.837,,,
88,2923604,96,3.6104375,left,fixation,6.0,,973.62368,586.49692,,,,,1.0,2.5664972725487067,13.12363154770808
89,2923604,100,3.60976,right,fixation,7.0,23.0,975.840961538461,575.799038461538,,,,,0.0,,
90,2923704,44,,left,saccade,7.0,,,,970.617,571.918,449.213,484.454,,,
91,2923708,48,,right,saccade,8.0,23.0,,,966.757,569.807,404.64099999999996,462.176,,,
92,2923752,1699,3.6026568396226413,left,fixation,7.0,,404.44530516432,438.4985821596241,,,,,9.0,2.6197189666223624,12.690944717414048
93,2923760,1691,3.603,right,fixation,8.0,24.0,374.84208490566004,432.4474481132071,,,,,21.0,3.3707502697439686,11.966397579006061
94,2925455,32,,left,saccade,8.0,,,,404.60900000000004,412.532,671.9639999999997,524.203,,,
95,2925455,32,,right,saccade,9.0,24.0,,,381.715,451.635,668.442,524.99,,,
96,2925491,132,3.729742424242424,left,fixation,8.0,,688.1532352941182,535.758558823529,,,,,2.0,2.5824310888008113,6.536324159793594
97,2925491,132,3.729742424242424,right,fixation,9.0,25.0,686.4120588235289,544.697647058824,,,,,1.0,3.0912379442187263,9.292994404388706
