,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
226,14648259,32,,left,saccade,1.0,,,,709.5210000000003,518.9,419.958,635.014,,,
227,14648259,32,,right,saccade,1.0,55.0,,,725.81,525.706,422.275,669.0260000000002,,,
228,14648295,472,3.143716101694915,right,fixation,1.0,56.0,400.33433613445396,707.5511344537822,,,,,3.0,6.370058638322148,21.924993939353985
229,14648295,476,3.14368487394958,left,fixation,1.0,,400.3296,687.9352249999989,,,,,1.0,7.952971946246099,32.4249314108758
230,14648771,28,,right,saccade,2.0,56.0,,,412.897,709.044,314.045,825.2560000000003,,,
231,14648775,44,,left,saccade,2.0,,,,409.846,703.932,415.351,735.658,,,
233,14648815,28,,right,saccade,3.0,57.0,,,318.861,801.816,377.38699999999994,700.235,,,
234,14648831,36,3.0842222222222224,left,fixation,2.0,,409.8953,726.9203,,,,,0.0,,
235,14648847,160,3.10845,right,fixation,2.0,58.0,384.069390243902,692.515512195122,,,,,1.0,7.598998928952577,37.090480207190645
236,14648871,0,,left,saccade,3.0,,,,395.037,697.301,395.037,697.301,,,
237,14648875,128,3.1099531250000005,left,fixation,3.0,,385.29212121212095,681.933181818182,,,,,0.0,,
238,14649007,24,,left,saccade,4.0,,,,389.389,692.82,461.124,753.202,,,
239,14649011,20,,right,saccade,4.0,58.0,,,385.39599999999996,709.6310000000003,456.555,789.941,,,
240,14649035,176,3.0797562947562938,left,fixation,4.0,,469.235066666667,788.506266666667,,,,,0.0,,
241,14649035,180,3.0797562947562938,right,fixation,3.0,59.0,470.16058695652197,804.398978260869,,,,,0.0,,
242,14649215,44,,left,saccade,5.0,,,,460.059,793.793,465.70300000000003,940.62,,,
243,14649219,56,,right,saccade,5.0,59.0,,,464.221,807.0169999999997,419.597,889.572,,,
245,14649387,12,,left,saccade,6.0,,,,475.587,923.179,478.369,882.592,,,
246,14649399,16,,right,fixation,4.0,60.0,425.2286,879.7189999999997,,,,,0.0,,
247,14649403,0,,left,fixation,5.0,,478.425,874.1510000000003,,,,,0.0,,
248,14649407,0,,left,saccade,7.0,,,,482.999,869.365,482.999,869.365,,,
249,14649411,4,,left,fixation,6.0,,483.5635,860.044,,,,,0.0,,
250,14649419,4,,right,saccade,6.0,60.0,,,430.99199999999996,860.711,434.574,843.257,,,
251,14649419,12,,left,saccade,8.0,,,,483.952,843.4060000000003,483.175,814.541,,,
252,14649427,296,3.0634506624271327,right,fixation,5.0,61.0,457.3604666666671,814.68268,,,,,2.0,4.956936327967976,12.32652108336972
253,14649435,288,3.0634506624271327,left,fixation,7.0,,464.692095890411,802.6838356164377,,,,,0.0,,
254,14649727,20,,left,saccade,9.0,,,,448.347,785.253,382.41900000000004,756.003,,,
255,14649727,20,,right,saccade,7.0,61.0,,,465.11,789.173,382.18800000000016,766.07,,,
256,14649751,792,3.0371388888888893,left,fixation,8.0,,400.586763819095,724.182035175878,,,,,0.0,,
257,14649751,792,3.0371388888888893,right,fixation,6.0,62.0,384.117763819096,709.836939698492,,,,,0.0,,
258,14650547,12,,right,saccade,8.0,62.0,,,406.751,720.345,436.5,750.607,,,
259,14650547,16,,left,saccade,10.0,,,,414.958,711.747,440.175,764.054,,,
260,14650563,164,3.046190476190476,right,fixation,7.0,63.0,470.00926190476196,771.2806904761909,,,,,1.0,4.465063300534253,13.364778973106954
261,14650567,412,3.0869711538461537,left,fixation,9.0,,504.31171153846196,781.937471153846,,,,,2.0,14.819617907943401,43.53395321241327
262,14650731,16,,right,saccade,9.0,63.0,,,486.42,763.7860000000003,534.315,781.96,,,
263,14650751,228,3.1175438596491225,right,fixation,8.0,64.0,571.236189655172,805.620965517242,,,,,2.0,12.640579558639256,25.39230588184914
264,14650983,20,,left,saccade,11.0,,,,582.75,770.069,492.096,788.627,,,
265,14650983,20,,right,saccade,10.0,64.0,,,606.49,807.475,514.399,807.444,,,
266,14651007,424,3.1268962264150946,left,fixation,10.0,,495.017598130841,804.068897196262,,,,,0.0,,
267,14651007,424,3.1268962264150946,right,fixation,9.0,65.0,509.817046728972,815.4657943925232,,,,,1.0,8.244076568799098,30.84931522740825
