,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
26,753735,32,,left,saccade,1.0,,,,521.355,178.898,473.11800000000005,405.327,,,
27,753739,28,,right,saccade,1.0,7.0,,,517.373,149.095,484.73400000000004,348.82099999999997,,,
28,753771,408,3.839101666666667,left,fixation,1.0,,435.82081553397995,418.079825242719,,,,,1.0,6.951368100756997,19.946749233897844
29,753771,412,3.839101666666667,right,fixation,1.0,8.0,461.701153846154,378.426423076923,,,,,1.0,8.690179420536218,17.700043418025853
30,754183,44,,left,saccade,2.0,,,,374.824,404.085,380.031,429.856,,,
31,754187,40,,right,saccade,2.0,8.0,,,434.787,378.905,394.24,429.61199999999997,,,
32,754327,192,3.7368139158576046,right,fixation,2.0,9.0,406.076224489796,390.700775510204,,,,,1.0,8.702778644713923,16.379322116620127
33,754343,4,,left,fixation,2.0,,382.09,427.80800000000005,,,,,0.0,,
34,754351,16,,left,saccade,3.0,,,,382.09,422.564,383.03,349.634,,,
35,754371,140,3.7368139158576046,left,fixation,3.0,,383.828416666667,377.97269444444396,,,,,0.0,,
36,754515,44,,left,saccade,4.0,,,,376.61800000000005,385.897,379.713,364.37800000000004,,,
37,754523,40,,right,saccade,3.0,9.0,,,402.13599999999997,391.301,397.81199999999995,431.216,,,
38,754695,0,,right,fixation,3.0,10.0,398.775,431.216,,,,,0.0,,
39,754699,20,,right,saccade,4.0,10.0,,,399.00800000000004,431.216,425.909,368.066,,,
40,754719,1004,3.6266369710467714,left,fixation,4.0,,422.22623015873,396.575591269841,,,,,1.0,11.046217653316646,43.50994426565036
41,754723,1004,3.627035476718403,right,fixation,4.0,11.0,448.810170634921,384.908678571429,,,,,1.0,10.799848950847013,32.44714848796432
42,755727,16,,left,saccade,5.0,,,,371.647,393.81800000000004,430.25199999999995,400.88699999999994,,,
43,755731,20,,right,saccade,5.0,11.0,,,408.42,364.43199999999996,487.22900000000004,365.015,,,
44,755747,3052,3.870192005242464,left,fixation,5.0,,475.649115183246,407.51559031413694,,,,,4.0,11.223161884467132,37.83843601088779
45,755755,343,3.804805882352942,right,fixation,5.0,12.0,512.743620689655,398.6934137931031,,,,,0.0,,
46,756102,4,,right,saccade,6.0,12.0,,,486.251,399.68,480.14099999999996,398.955,,,
47,756110,273,3.8578333333333332,right,fixation,6.0,13.0,436.9544492753621,382.8813478260871,,,,,0.0,,
48,756387,12,,right,saccade,7.0,13.0,,,422.23400000000004,390.75800000000004,470.60699999999997,394.277,,,
49,756403,700,3.8848,right,fixation,7.0,14.0,495.51319886363603,410.790738636364,,,,,0.0,,
50,757107,0,,right,saccade,8.0,14.0,,,471.68,374.845,471.68,374.845,,,
51,757111,240,3.882716666666667,right,fixation,8.0,15.0,442.060672131147,397.902721311475,,,,,0.0,,
52,757355,20,,right,saccade,9.0,15.0,,,414.64599999999996,385.73199999999997,513.42,381.814,,,
53,757379,1035,3.8965251937984497,right,fixation,9.0,16.0,488.6093846153849,401.5606730769229,,,,,1.0,11.039055037054174,35.79915398441704
54,758418,8,,right,saccade,10.0,16.0,,,426.31800000000004,410.384,423.711,382.522,,,
55,758430,16,3.84975,right,fixation,10.0,17.0,421.306,368.1296,,,,,0.0,,
56,758450,12,,right,saccade,11.0,17.0,,,434.61400000000003,366.36699999999996,481.73900000000003,368.93199999999996,,,
57,758466,185,3.841893617021277,right,fixation,11.0,18.0,503.863595744681,408.88038297872396,,,,,0.0,,
58,758655,0,,right,saccade,12.0,18.0,,,522.548,404.56199999999995,522.548,404.56199999999995,,,
59,758659,140,3.8106714285714287,right,fixation,12.0,19.0,512.9674166666671,380.582861111111,,,,,0.0,,
60,758803,20,,left,saccade,6.0,,,,494.36,409.088,481.639,528.877,,,
61,758803,20,,right,saccade,13.0,19.0,,,509.26300000000003,426.069,481.841,500.48,,,
62,758827,448,3.8004776785714287,left,fixation,6.0,,457.95603539823,526.215469026549,,,,,1.0,7.998999065855414,32.8870825097028
63,758827,448,3.8004776785714287,right,fixation,13.0,20.0,471.034911504425,520.279575221239,,,,,0.0,,
64,759279,32,,left,saccade,7.0,,,,465.501,534.855,668.3889999999999,537.369,,,
65,759279,32,,right,saccade,14.0,20.0,,,460.719,510.345,681.337,516.658,,,
67,759315,327,3.738444444444444,right,fixation,14.0,21.0,720.744132530121,511.16371084337305,,,,,0.0,,
68,759646,32,,right,saccade,15.0,21.0,,,745.543,536.422,574.122,414.741,,,
69,759646,41,,left,saccade,8.0,,,,718.482,521.631,513.659,427.705,,,
70,759682,333,3.6974404761904758,right,fixation,15.0,22.0,519.9713214285711,369.850952380952,,,,,0.0,,
71,759691,327,3.695950617283951,left,fixation,7.0,,520.916626506024,404.01278313253,,,,,0.0,,
72,760018,24,,right,saccade,16.0,22.0,,,507.20599999999996,388.311,670.676,399.532,,,
73,760022,24,,left,saccade,9.0,,,,537.399,408.07199999999995,648.385,419.92,,,
74,760046,309,3.761692307692308,right,fixation,16.0,23.0,702.545756410256,435.425602564102,,,,,1.0,10.016074583166587,26.44151054686552
75,760050,301,3.7616052631578953,left,fixation,8.0,,688.888960526316,451.554907894737,,,,,0.0,,
