,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
78,2251545,332,3.6361024096385552,left,fixation,1.0,,828.8925,415.1349166666671,,,,,1.0,10.23190517314455,35.106550528355825
79,2251545,568,3.640151408450704,right,fixation,1.0,22.0,791.757307692308,420.88454545454596,,,,,2.0,10.653700162789237,43.960524083953246
80,2251881,16,,left,saccade,1.0,,,,835.625,461.63800000000003,782.012,467.55300000000005,,,
81,2251901,208,3.646423076923076,left,fixation,2.0,,762.1189999999997,467.677113207547,,,,,0.0,,
82,2252113,28,,left,saccade,2.0,,,,758.49,468.42400000000004,592.408,472.68300000000005,,,
83,2252117,24,,right,saccade,1.0,22.0,,,746.324,475.399,593.249,474.356,,,
84,2252145,232,3.5913268715559346,left,fixation,3.0,,582.330033898305,472.612627118644,,,,,0.0,,
85,2252145,236,3.5913268715559337,right,fixation,2.0,23.0,575.7332666666671,479.1659666666671,,,,,0.0,,
86,2252381,12,,left,saccade,3.0,,,,592.658,472.62699999999995,646.347,472.906,,,
87,2252385,4,,right,saccade,2.0,23.0,,,606.04,494.101,618.789,493.86699999999996,,,
88,2252393,64,,right,fixation,3.0,24.0,629.069529411765,494.849,,,,,0.0,,
89,2252397,60,,left,fixation,4.0,,662.0053125,479.19300000000004,,,,,0.0,,
91,2252461,44,,right,saccade,3.0,24.0,,,628.813,490.86,734.368,482.12800000000004,,,
92,2252589,228,3.5287599999999997,right,fixation,4.0,25.0,750.0666551724139,463.105017241379,,,,,1.0,8.292137676739317,11.713892820066194
93,2252617,196,3.526979166666667,left,fixation,5.0,,756.97228,470.06395999999995,,,,,1.0,14.237656900901142,60.61481510324021
94,2252817,20,,left,saccade,4.0,,,,745.1160000000001,478.63199999999995,841.419,476.31699999999995,,,
95,2252821,12,,right,saccade,4.0,25.0,,,760.4630000000003,461.897,816.203,466.551,,,
96,2252837,284,3.6363357142857136,right,fixation,5.0,26.0,847.2546666666658,479.33093055555605,,,,,0.0,,
97,2252841,276,3.6366323529411764,left,fixation,6.0,,856.5833714285719,492.13401428571404,,,,,0.0,,
98,2253121,20,,left,saccade,5.0,,,,861.65,496.006,724.137,499.17699999999996,,,
99,2253125,20,,right,saccade,5.0,26.0,,,844.2180000000003,490.49800000000016,761.8610000000001,495.465,,,
100,2253145,368,3.613364130434783,left,fixation,7.0,,737.35029032258,499.190548387097,,,,,2.0,7.364952274312523,31.810785264960717
101,2253149,364,3.6130219780219774,right,fixation,6.0,27.0,732.8365869565221,472.331108695652,,,,,0.0,,
102,2253517,28,,left,saccade,6.0,,,,748.7260000000001,496.426,549.572,498.634,,,
103,2253517,32,,right,saccade,6.0,27.0,,,738.6010000000001,449.852,542.877,474.499,,,
104,2253549,540,3.5563333333333333,left,fixation,8.0,,502.436117647059,480.931477941177,,,,,1.0,9.581938637642976,56.390601575085135
105,2253553,528,3.555939393939394,right,fixation,7.0,28.0,492.85448872180496,460.745368421053,,,,,4.0,6.761894512244855,19.925783621869268
106,2254085,24,,right,saccade,7.0,28.0,,,440.60900000000004,452.67900000000003,553.8330000000002,457.275,,,
107,2254093,16,,left,saccade,7.0,,,,465.92,468.189,534.052,467.582,,,
108,2254113,204,3.5805288461538463,left,fixation,9.0,,552.555538461539,454.360826923077,,,,,0.0,,
109,2254113,204,3.5805288461538463,right,fixation,8.0,29.0,548.423673076923,448.61503846153914,,,,,0.0,,
110,2254321,56,,left,saccade,8.0,,,,552.752,449.316,1340.6270000000004,450.61400000000003,,,
111,2254321,56,,right,saccade,8.0,29.0,,,545.127,464.231,1365.1860000000001,441.865,,,
112,2254381,560,3.5818884892086333,left,fixation,10.0,,1377.2925531914902,443.745276595745,,,,,0.0,,
113,2254381,560,3.5818884892086333,right,fixation,9.0,30.0,1385.1953049645401,416.39800709219804,,,,,0.0,,
114,2254945,48,,right,saccade,9.0,30.0,,,1392.604,421.35400000000004,756.832,499.801,,,
