,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
4,2458198,220,3.3996205357142855,left,fixation,1.0,,926.919178571429,22.011357142857104,,,,,3.0,3.119112378464839,7.886662317375205
5,2458198,220,3.3996205357142855,right,fixation,1.0,2.0,930.104767857143,65.2849821428571,,,,,1.0,3.6111612475151977,6.603764078160267
10,2458671,20,,left,saccade,1.0,,,,602.3330000000002,158.227,463.966,158.804,,,
11,2458671,20,,right,saccade,1.0,3.0,,,608.249,194.007,483.26800000000003,193.06599999999997,,,
12,2458695,135,3.3952656983109164,left,fixation,2.0,,458.942885714286,157.196428571429,,,,,1.0,3.4089001851362872,15.882759080210226
13,2458695,135,3.3952656983109164,right,fixation,2.0,4.0,477.52788571428596,196.77905714285703,,,,,0.0,,
14,2458834,40,,left,saccade,2.0,,,,455.95300000000003,175.878,435.403,181.89700000000002,,,
15,2458834,40,,right,saccade,2.0,4.0,,,472.93800000000016,194.88299999999998,450.806,155.332,,,
16,2458958,52,,right,fixation,3.0,5.0,460.0745,138.178714285714,,,,,0.0,,
17,2458962,52,,left,fixation,3.0,,420.942642857143,150.187428571429,,,,,1.0,8.74246297135742,52.747017356434476
18,2459014,40,,right,saccade,3.0,5.0,,,462.46,131.882,445.594,140.089,,,
19,2459018,40,,left,saccade,3.0,,,,411.151,124.345,419.286,140.632,,,
20,2459174,352,3.4478624955814774,left,fixation,4.0,,465.52511235955114,170.890224719101,,,,,2.0,5.0827731138397905,30.22824444032622
21,2459182,344,3.447862495581478,right,fixation,4.0,6.0,477.753333333333,192.71686206896598,,,,,3.0,4.023746352194877,12.862997614437242
22,2459530,16,,left,saccade,4.0,,,,470.84,172.085,537.187,170.41299999999995,,,
23,2459530,20,,right,saccade,4.0,6.0,,,476.791,188.229,554.757,191.271,,,
24,2459550,348,3.418344827586207,left,fixation,5.0,,552.232522727273,184.391715909091,,,,,1.0,6.369661232924577,54.731103131583204
25,2459554,344,3.417244186046512,right,fixation,5.0,7.0,567.744954022989,206.32448275862097,,,,,0.0,,
26,2459902,60,,left,saccade,5.0,,,,554.1080000000002,188.683,1336.6,112.816,,,
27,2459902,60,,right,saccade,5.0,7.0,,,564.445,199.87599999999998,1331.1689999999999,104.54,,,
28,2459966,380,3.4020947368421046,left,fixation,6.0,,1379.78584375,91.2483229166667,,,,,4.0,5.046484611178479,16.750361454753175
29,2459966,380,3.4020947368421046,right,fixation,6.0,8.0,1393.53319791667,93.8858333333333,,,,,3.0,5.389202876019625,21.20556144715384
30,2460350,52,,left,saccade,6.0,,,,1404.964,90.679,516.688,110.12899999999999,,,
31,2460350,56,,right,saccade,6.0,8.0,,,1424.411,67.574,529.784,136.66,,,
32,2460406,280,3.4289857142857136,left,fixation,7.0,,490.010450704225,132.100690140845,,,,,2.0,6.227778209075165,30.743651381382733
33,2460410,388,3.4277222222222217,right,fixation,7.0,9.0,479.352418367347,163.658163265306,,,,,3.0,10.37048422996719,29.785464524740963
34,2460690,8,,left,saccade,7.0,,,,476.709,143.732,465.289,164.145,,,
35,2460702,92,,left,fixation,8.0,,442.474083333333,173.78225,,,,,1.0,5.109429088568602,13.879877881307213
36,2460798,40,,left,saccade,8.0,,,,436.94599999999997,169.90200000000004,543.812,176.96,,,
37,2460802,44,,right,saccade,7.0,9.0,,,447.18199999999996,203.175,535.631,178.076,,,
38,2460954,524,3.4489571428571426,right,fixation,8.0,10.0,518.593583333333,216.821856060606,,,,,6.0,6.23609318540679,17.34176580747504
39,2460958,520,3.4489571428571426,left,fixation,9.0,,525.738778625954,176.330809160305,,,,,7.0,6.6729051093824125,27.15752183072792
40,2461482,20,,left,saccade,9.0,,,,494.025,199.14,571.693,197.16099999999997,,,
41,2461482,20,,right,saccade,8.0,10.0,,,459.759,217.28900000000002,576.945,219.864,,,
42,2461506,196,3.3806734693877547,right,fixation,9.0,11.0,581.38096,228.93162,,,,,0.0,,
43,2461506,200,3.3804899999999987,left,fixation,10.0,,571.364764705883,166.23460784313698,,,,,0.0,,
