,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,1699965,24,,right,saccade,1.0,3.0,,,415.36400000000003,146.078,452.31800000000004,247.014,,,
11,1699969,20,,left,saccade,1.0,,,,409.098,137.916,427.716,203.725,,,
12,1699993,408,3.8890098039215686,left,fixation,1.0,,458.512475728155,222.505145631068,,,,,0.0,,
13,1699993,408,3.8890098039215686,right,fixation,1.0,4.0,475.52367961165,247.54518446602,,,,,1.0,3.632926066623923,15.88267222478636
14,1700405,16,,right,saccade,2.0,4.0,,,472.025,233.472,461.806,167.50099999999995,,,
15,1700405,20,,left,saccade,2.0,,,,462.264,213.57299999999998,450.754,128.99200000000002,,,
16,1700425,2004,4.006996007984032,right,fixation,2.0,5.0,442.875683266932,145.270237051793,,,,,5.0,9.242833750465788,40.70957757366135
17,1700429,596,4.016550335570472,left,fixation,2.0,,444.461246666667,139.728126666667,,,,,1.0,7.078290039895864,44.84213078121958
18,1701029,20,,left,saccade,3.0,,,,466.784,184.342,399.213,134.457,,,
19,1701053,1376,4.002518895348837,left,fixation,3.0,,430.04316521739196,121.478394202899,,,,,5.0,8.72104227471689,26.08772178894176
20,1702433,20,,left,saccade,4.0,,,,479.026,122.77600000000001,384.278,94.23,,,
21,1702433,20,,right,saccade,3.0,5.0,,,500.293,157.679,401.12,139.744,,,
22,1702457,1568,4.083770408163266,left,fixation,4.0,,442.74587531806503,119.408605597964,,,,,3.0,8.681663922387411,23.77709829629839
23,1702457,1568,4.083770408163266,right,fixation,3.0,6.0,440.771147582697,142.367213740458,,,,,5.0,8.420231334255366,17.233122258133548
24,1704029,24,,left,saccade,5.0,,,,505.314,110.08,634.29,182.144,,,
25,1704029,24,,right,saccade,4.0,6.0,,,504.332,150.765,664.403,210.768,,,
26,1704057,240,3.9968833333333333,left,fixation,5.0,,658.345278688524,207.66260655737702,,,,,1.0,5.574624334627583,18.36177259961585
27,1704057,240,3.9968833333333333,right,fixation,4.0,7.0,678.49568852459,226.54704918032797,,,,,1.0,5.726058080292991,36.66580266406289
28,1704301,24,,left,saccade,6.0,,,,677.687,219.826,483.82800000000003,216.358,,,
29,1704301,24,,right,saccade,5.0,7.0,,,703.306,233.82,509.751,239.31400000000002,,,
30,1704329,232,4.016060344827586,left,fixation,6.0,,467.987745762712,216.506593220339,,,,,1.0,5.582716824171629,8.513737839515619
31,1704329,232,4.016060344827586,right,fixation,5.0,8.0,478.480694915254,235.83115254237305,,,,,3.0,3.6022552084340984,8.767921447925723
32,1704565,40,,left,saccade,7.0,,,,458.05,195.201,886.855,192.22,,,
33,1704565,40,,right,saccade,6.0,8.0,,,480.653,228.87099999999998,947.7539999999999,214.112,,,
34,1704609,336,3.934809523809524,left,fixation,7.0,,917.8506588235292,212.776788235294,,,,,1.0,5.96650456483712,16.946151185446322
35,1704609,336,3.934809523809524,right,fixation,6.0,9.0,957.485694117648,227.62291764705898,,,,,1.0,6.037311085151128,15.123678454661727
36,1704949,20,,left,saccade,8.0,,,,913.06,229.84599999999998,1005.2,229.84599999999998,,,
37,1704949,20,,right,saccade,7.0,9.0,,,959.8789999999999,234.208,1022.966,242.729,,,
38,1704973,148,3.892364864864864,right,fixation,7.0,10.0,1044.54555263158,232.847236842105,,,,,1.0,6.2496046119379285,5.272670101570916
39,1704973,152,3.8922236842105264,left,fixation,8.0,,1013.43869230769,223.654717948718,,,,,0.0,,
40,1705125,24,,right,saccade,8.0,10.0,,,1050.5430000000001,224.743,1209.972,242.628,,,
41,1705129,20,,left,saccade,9.0,,,,1013.515,209.669,1178.164,218.325,,,
42,1705153,248,3.8681532258064513,left,fixation,9.0,,1182.99857142857,223.904349206349,,,,,0.0,,
43,1705153,248,3.8681532258064513,right,fixation,8.0,11.0,1214.9633650793598,241.336952380952,,,,,0.0,,
44,1705405,24,,right,saccade,9.0,11.0,,,1212.786,254.204,1411.401,260.843,,,
45,1705405,28,,left,saccade,10.0,,,,1180.617,243.90200000000002,1385.869,261.78700000000003,,,
46,1705433,207,3.8636960784313734,right,fixation,9.0,12.0,1421.1578679245301,247.87956603773603,,,,,0.0,,
47,1705437,203,3.864149999999999,left,fixation,10.0,,1398.3005192307699,242.21525,,,,,0.0,,
48,1705644,40,,left,saccade,11.0,,,,1401.644,231.77700000000002,946.29,184.312,,,
49,1705644,40,,right,saccade,10.0,12.0,,,1414.6889999999999,243.49400000000003,979.363,198.19400000000002,,,
50,1705688,477,3.9285583333333336,left,fixation,11.0,,932.9473750000012,191.346391666667,,,,,2.0,4.191005083822311,16.404104498061578
51,1705688,481,3.9287024793388414,right,fixation,10.0,13.0,950.9530247933881,192.98892561983502,,,,,2.0,3.2788697897649994,13.06369170012741
52,1706169,43,,left,saccade,12.0,,,,948.6569999999999,210.327,495.222,264.238,,,
53,1706173,43,,right,saccade,11.0,13.0,,,946.467,211.109,502.639,301.70599999999996,,,
54,1706216,556,3.963019642857143,left,fixation,12.0,,443.52235,320.643457142857,,,,,5.0,7.478718968439715,26.63689770506131
