,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
228,10123445,48,,left,saccade,1.0,,,,1198.978,231.17,418.05300000000005,409.439,,,
229,10123449,40,,right,saccade,1.0,58.0,,,1200.3210000000001,208.28900000000002,428.756,427.334,,,
230,10123493,291,3.570025423728813,right,fixation,1.0,59.0,403.97694594594594,435.549148648649,,,,,1.0,9.938528417784557,63.7646742483642
231,10123497,283,3.5697130434782607,left,fixation,1.0,,413.090569444444,431.453388888889,,,,,0.0,,
232,10123784,32,,left,saccade,2.0,,,,405.255,419.25800000000004,299.08,305.0540000000001,,,
233,10123788,112,,right,saccade,2.0,59.0,,,355.531,433.39599999999996,346.077,428.93800000000016,,,
234,10123904,113,3.5217288786482333,right,fixation,2.0,60.0,364.262827586207,419.481724137931,,,,,0.0,,
236,10123936,36,,left,saccade,3.0,,,,315.732,318.503,366.259,403.851,,,
237,10123977,44,3.5095425170068038,left,fixation,2.0,,369.8706666666671,416.626666666667,,,,,0.0,,
238,10124021,20,,right,saccade,3.0,60.0,,,356.455,409.13199999999995,426.274,550.364,,,
239,10124025,20,,left,saccade,4.0,,,,381.82199999999995,428.212,488.664,563.725,,,
240,10124045,336,3.4362207696433367,right,fixation,3.0,61.0,461.444458823529,564.754235294118,,,,,3.0,4.3867715366785935,17.482087135395307
241,10124049,332,3.4361076303576303,left,fixation,3.0,,473.879476190476,546.635880952381,,,,,0.0,,
243,10124385,52,,right,saccade,4.0,61.0,,,451.88800000000003,569.31,340.264,366.745,,,
244,10124684,1424,3.2422448034059603,right,fixation,4.0,62.0,388.175571428572,431.69450140056,,,,,6.0,5.6722715974063895,26.908166701538324
247,10124752,1348,3.2422448034059608,left,fixation,4.0,,396.713582840237,428.13778106508795,,,,,1.0,8.113748366541545,49.29222190163475
248,10126104,36,,left,saccade,5.0,,,,403.654,423.935,361.918,412.50199999999995,,,
249,10126112,52,,right,saccade,5.0,62.0,,,375.658,433.05400000000003,331.869,370.485,,,
252,10126316,0,,left,fixation,5.0,,361.918,412.50199999999995,,,,,0.0,,
253,10126316,1968,3.2856138073394487,right,fixation,5.0,64.0,387.076115618662,404.334807302232,,,,,7.0,5.112565337462116,17.543645459783455
254,10126320,12,,left,saccade,6.0,,,,362.17900000000003,400.30699999999996,362.85400000000004,359.92,,,
255,10126336,1948,3.2856138073394496,left,fixation,6.0,,401.216383196721,433.28493647541,,,,,6.0,5.3736931094167915,15.394912332016485
256,10128288,32,,left,saccade,7.0,,,,385.858,425.93300000000005,423.01800000000003,435.12,,,
257,10128288,84,,right,saccade,6.0,64.0,,,402.62199999999996,434.37300000000016,489.102,507.907,,,
258,10128440,20,,left,fixation,7.0,,446.556833333333,438.803666666667,,,,,0.0,,
259,10128460,224,3.269325741890959,right,fixation,6.0,65.0,501.368842105263,558.896403508772,,,,,1.0,5.847530193262035,10.136721758043869
260,10128464,20,,left,saccade,8.0,,,,472.14,452.569,489.505,501.289,,,
261,10128488,200,3.2710234113712384,left,fixation,8.0,,492.172098039216,541.7720588235289,,,,,0.0,,
262,10128688,24,,right,saccade,7.0,65.0,,,506.098,563.991,426.844,419.833,,,
263,10128692,20,,left,saccade,9.0,,,,472.93199999999996,549.295,409.505,414.546,,,
264,10128716,56,3.3376071428571423,left,fixation,9.0,,408.2838,407.647533333333,,,,,0.0,,
265,10128716,56,3.3376071428571423,right,fixation,7.0,66.0,412.5146,394.262333333333,,,,,0.0,,
273,10129260,36,,right,saccade,8.0,67.0,,,372.535,147.933,355.715,370.73199999999997,,,
274,10129397,375,3.2957978580990632,right,fixation,8.0,68.0,396.032157894737,420.67587368421096,,,,,3.0,5.801261615801742,30.688299249015714
276,10129433,8,,left,saccade,10.0,,,,351.89099999999996,379.866,364.663,401.291,,,
277,10129444,320,3.2957978580990632,left,fixation,10.0,,383.70137037037,410.77087654320997,,,,,1.0,5.876749181685785,16.059067500947837
