,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
11,2344967,36,,left,saccade,1.0,,,,525.752,571.091,509.091,243.359,,,
12,2345003,236,3.4254491525423734,right,fixation,1.0,4.0,530.9197333333329,239.901333333333,,,,,1.0,5.626770538634428,25.257741090604334
13,2345007,232,3.424922413793104,left,fixation,1.0,,498.933915254237,201.63889830508492,,,,,0.0,,
14,2345243,24,,right,saccade,1.0,4.0,,,526.798,231.731,674.4780000000002,229.40099999999998,,,
15,2345243,28,,left,saccade,2.0,,,,506.534,190.638,653.0980000000002,207.917,,,
16,2345271,281,3.2741690140845066,right,fixation,2.0,5.0,694.3976478873241,214.47547887323898,,,,,0.0,,
17,2345275,280,3.27295,left,fixation,2.0,,690.518154929577,212.990338028169,,,,,0.0,,
18,2345555,36,,right,saccade,2.0,5.0,,,702.148,236.795,511.82099999999997,223.271,,,
19,2345559,32,,left,saccade,3.0,,,,700.051,221.592,503.226,219.248,,,
20,2345595,192,3.1406041666666664,right,fixation,3.0,6.0,489.09628571428595,225.419510204082,,,,,0.0,,
21,2345595,196,3.140275510204081,left,fixation,3.0,,477.56435999999997,208.29408,,,,,0.0,,
22,2345791,12,,right,saccade,3.0,6.0,,,490.996,203.757,533.26,199.053,,,
23,2345795,8,,left,saccade,4.0,,,,497.711,197.19099999999997,508.671,193.44099999999997,,,
24,2345807,240,3.1458,left,fixation,4.0,,561.479442622951,181.732278688525,,,,,0.0,,
25,2345807,240,3.1458,right,fixation,4.0,7.0,561.918278688524,187.427918032787,,,,,1.0,3.3137256139343103,5.915682885348045
26,2346051,20,,left,saccade,5.0,,,,574.789,195.63099999999997,699.8739999999997,201.567,,,
27,2346051,20,,right,saccade,4.0,7.0,,,569.986,192.245,701.585,192.245,,,
28,2346075,492,3.1830645161290323,left,fixation,5.0,,732.263266129033,195.137564516129,,,,,0.0,,
29,2346075,492,3.1830645161290323,right,fixation,5.0,8.0,736.55895967742,190.92925,,,,,1.0,6.086522164221204,27.434150433355864
30,2346571,32,,right,saccade,5.0,8.0,,,740.18,190.513,550.398,206.87,,,
31,2346571,36,,left,saccade,6.0,,,,746.0010000000003,200.58599999999998,528.385,210.435,,,
32,2346607,368,3.2431978021978023,right,fixation,6.0,9.0,478.146935483871,195.640129032258,,,,,1.0,8.839124868698507,66.61989548175525
33,2346611,364,3.2434333333333334,left,fixation,6.0,,478.134847826087,191.42352173913002,,,,,1.0,7.843000803972353,38.613630818663026
34,2346979,36,,right,saccade,6.0,9.0,,,442.81800000000004,171.576,760.743,180.96599999999998,,,
35,2346979,44,,left,saccade,7.0,,,,447.774,191.02700000000002,750.047,178.084,,,
36,2347019,240,3.2217583333333333,right,fixation,7.0,10.0,773.926262295082,194.627245901639,,,,,0.0,,
37,2347027,408,3.2148431372549022,left,fixation,7.0,,807.2994368932042,190.279533980583,,,,,1.0,12.321976266456266,45.42209719949082
38,2347263,4,,right,saccade,7.0,10.0,,,813.7360000000001,207.56599999999997,830.1389999999999,207.238,,,
