,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,4035337,20,,left,saccade,1.0,,,,403.839,159.657,475.926,251.19299999999998,,,
11,4035337,24,,right,saccade,1.0,3.0,,,406.48800000000006,151.705,478.921,259.841,,,
12,4035361,576,3.621970212765957,left,fixation,1.0,,511.415427586207,285.783848275862,,,,,6.0,2.831420569785404,17.259290891974217
13,4035365,568,3.621824034334764,right,fixation,1.0,4.0,493.51199999999994,275.626104895105,,,,,3.0,2.5177902063268736,7.37333286746351
14,4035937,40,,right,saccade,2.0,4.0,,,489.246,283.6140000000001,707.6260000000003,279.382,,,
15,4035941,40,,left,saccade,2.0,,,,502.999,273.926,693.7410000000001,260.774,,,
16,4036049,416,3.583874213836478,right,fixation,2.0,5.0,715.677704761905,274.32470476190497,,,,,6.0,2.793290834724249,13.09132447199133
17,4036053,412,3.583874213836478,left,fixation,2.0,,720.6219134615379,292.742355769231,,,,,7.0,2.666164368530428,11.0030098637326
18,4036469,40,,left,saccade,3.0,,,,728.418,301.256,427.464,242.388,,,
19,4036469,40,,right,saccade,3.0,5.0,,,721.926,266.957,417.775,219.653,,,
20,4036513,2240,3.656045535714286,right,fixation,3.0,6.0,408.298057040998,153.350445632799,,,,,17.0,2.440544238840901,10.391422117890947
21,4036513,2244,3.656143493761141,left,fixation,3.0,,403.66438434163695,164.423879003559,,,,,35.0,2.371777258198128,11.27021132299556
22,4038757,52,,right,saccade,4.0,6.0,,,412.829,154.773,949.289,243.73,,,
23,4038761,52,,left,saccade,4.0,,,,417.0,156.503,963.477,251.80700000000002,,,
24,4038813,1516,3.642224867724868,right,fixation,4.0,7.0,953.9810000000001,264.074960526316,,,,,8.0,2.4227887326410613,10.409663364704297
25,4038817,1512,3.642029177718833,left,fixation,4.0,,959.725337730869,284.646300791557,,,,,13.0,2.147289399118785,8.704645665329982
26,4040333,32,,left,saccade,5.0,,,,931.819,294.413,1148.355,293.988,,,
27,4040333,32,,right,saccade,5.0,7.0,,,946.0139999999999,279.44599999999997,1159.191,279.113,,,
28,4040369,860,3.6303078703703706,left,fixation,5.0,,1186.94315740741,289.527958333333,,,,,5.0,2.3597198912138904,11.060811752795818
29,4040369,860,3.6303078703703706,right,fixation,5.0,8.0,1188.6389537037,262.915694444445,,,,,2.0,3.1918726066119936,21.23463259621961
30,4041233,28,,right,saccade,6.0,8.0,,,1197.855,264.53700000000003,1423.6070000000002,277.031,,,
31,4041233,32,,left,saccade,6.0,,,,1192.516,297.418,1425.138,302.869,,,
32,4041265,240,3.564,right,fixation,6.0,9.0,1443.0091475409802,276.08475409836103,,,,,1.0,2.071951267659507,6.532913898101173
33,4041269,232,3.5639310344827586,left,fixation,6.0,,1442.38172881356,296.842813559322,,,,,2.0,1.6741450523556456,3.7903731329645383
34,4041505,52,,left,saccade,7.0,,,,1451.271,281.879,738.808,294.496,,,
35,4041509,52,,right,saccade,7.0,9.0,,,1443.359,276.37,744.2689999999999,263.36,,,
36,4041561,1516,3.627511823323458,left,fixation,7.0,,729.4234947368428,288.960615789474,,,,,5.0,2.336800046642974,9.0374157500469
37,4041565,1512,3.627645569620253,right,fixation,7.0,10.0,722.244501319262,274.413240105541,,,,,3.0,2.2272634202244075,10.20397631977785
38,4043081,40,,left,saccade,8.0,,,,727.19,281.455,713.819,274.065,,,
39,4043081,40,,right,saccade,8.0,10.0,,,722.172,279.215,728.275,268.63599999999997,,,
40,4043185,160,3.5811917913310314,right,fixation,8.0,11.0,729.674097560976,267.348195121951,,,,,1.0,2.7958140535847926,8.580980130497919
41,4043189,152,3.580849326255615,left,fixation,8.0,,731.2391538461542,288.812205128205,,,,,2.0,3.0501117556190653,24.13697854703453
42,4043345,24,,left,saccade,9.0,,,,728.4789999999997,289.624,566.98,293.733,,,
43,4043349,24,,right,saccade,9.0,11.0,,,731.453,260.937,551.2180000000002,270.103,,,
44,4043373,1524,3.5117572178477685,left,fixation,9.0,,501.597892670158,269.863596858638,,,,,20.0,2.6961773821477637,13.62260675380773
45,4043377,1520,3.5115539473684216,right,fixation,9.0,12.0,507.165104986876,264.14844881889803,,,,,11.0,3.0977445615405697,10.422444230238133
46,4044901,15,,left,saccade,10.0,,,,499.211,259.029,447.88199999999995,222.622,,,
47,4044901,15,,right,saccade,10.0,12.0,,,493.68300000000005,242.31400000000002,448.648,213.993,,,
48,4044920,3104,3.5994379021879017,right,fixation,10.0,13.0,410.87548777348803,148.698371943372,,,,,23.0,2.4762839185937033,10.47584778280784
49,4044920,3108,3.5995183161953728,left,fixation,10.0,,408.34848714653,158.368371465296,,,,,30.0,2.3515833810416047,10.468732887490622
