,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,1661566,44,,left,saccade,1.0,,,,897.1139999999997,268.403,514.722,245.157,,,
11,1661570,44,,right,saccade,1.0,3.0,,,893.204,279.39599999999996,513.4019999999998,244.52,,,
12,1661614,580,2.991068493150685,left,fixation,1.0,,477.65489726027397,190.30147260273998,,,,,3.0,5.305504586660594,12.962517558037883
13,1661618,580,2.991099315068493,right,fixation,1.0,4.0,481.52384931506896,211.373410958904,,,,,1.0,3.981701548612381,10.230447106553964
14,1662198,12,,left,saccade,2.0,,,,464.38199999999995,191.27700000000002,463.506,245.043,,,
15,1662202,0,,right,saccade,2.0,4.0,,,463.215,239.933,463.215,239.933,,,
16,1662206,524,3.006053435114504,right,fixation,2.0,5.0,479.583954545455,267.376303030303,,,,,2.0,6.3477546052549885,14.727761069369269
17,1662214,516,3.006507751937985,left,fixation,2.0,,471.499061538462,256.917784615385,,,,,1.0,7.523176274021504,15.399814349530294
18,1662734,28,,left,saccade,3.0,,,,475.67699999999996,249.458,678.279,243.512,,,
19,1662734,28,,right,saccade,3.0,5.0,,,486.204,289.58299999999997,688.697,267.789,,,
20,1662766,328,3.0525061728395064,right,fixation,3.0,6.0,694.440951807229,260.60056626506,,,,,1.0,5.007603646234177,14.651254724425456
21,1662766,332,3.05269512195122,left,fixation,3.0,,674.826023809524,239.618345238095,,,,,0.0,,
22,1663098,32,,right,saccade,4.0,6.0,,,703.052,259.278,517.6419999999998,222.377,,,
23,1663102,28,,left,saccade,4.0,,,,687.665,232.96,501.103,196.99,,,
24,1663134,408,3.0777058823529417,left,fixation,4.0,,478.259980582524,177.361611650485,,,,,2.0,5.317093104571584,17.348781262103042
25,1663134,408,3.0777058823529417,right,fixation,4.0,7.0,476.65757281553397,190.76894174757302,,,,,3.0,5.393019556912726,17.800254342111696
26,1663546,16,,right,saccade,5.0,7.0,,,453.6,180.33,512.239,179.15200000000004,,,
27,1663546,20,,left,saccade,5.0,,,,467.38300000000004,189.15,532.526,178.303,,,
28,1663566,824,3.0890579710144923,right,fixation,5.0,8.0,470.501173913043,191.802512077295,,,,,5.0,5.108929107174865,13.425040341776267
