,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
200,21213218,604,3.603306666666666,right,fixation,1.0,49.0,512.587513157894,626.693743421053,,,,,4.0,5.641172358460946,27.53026321987488
201,21213222,1104,3.5333436363636364,left,fixation,1.0,,460.005444043321,610.706974729242,,,,,6.0,6.442251722894013,33.98668145719621
202,21213826,4,,right,saccade,1.0,49.0,,,461.485,614.313,442.80400000000003,614.1519999999998,,,
203,21213834,492,3.448776422764228,right,fixation,2.0,50.0,405.86358870967797,609.771983870968,,,,,2.0,3.885339655035974,7.888178969893259
204,21214330,20,,left,saccade,1.0,,,,380.069,596.138,466.889,601.5509999999998,,,
205,21214330,20,,right,saccade,2.0,50.0,,,397.779,613.021,491.465,615.645,,,
206,21214354,636,3.2966037735849056,right,fixation,3.0,51.0,481.53813125,632.8958625,,,,,2.0,2.9653774303328104,15.930693631024313
207,21214354,1208,3.32244536423841,left,fixation,2.0,,492.42853465346496,606.388557755775,,,,,2.0,4.191133862741263,30.971210876061075
208,21214994,16,,right,saccade,3.0,51.0,,,460.204,633.202,523.0509999999998,629.406,,,
209,21215014,956,3.42142259414226,right,fixation,4.0,52.0,492.992204166667,607.566008333334,,,,,5.0,3.9594110988762297,14.018851155305262
210,21215566,8,,left,saccade,2.0,,,,501.57,623.18,478.952,622.507,,,
211,21215578,396,3.5150505050505045,left,fixation,3.0,,454.57273,609.82489,,,,,1.0,2.7347824004439105,6.980420187925701
212,21215974,16,,right,saccade,4.0,52.0,,,453.374,595.034,384.49199999999996,590.761,,,
213,21215978,16,,left,saccade,3.0,,,,453.161,615.47,380.819,615.378,,,
214,21215994,864,3.5118479262672806,right,fixation,5.0,53.0,420.245640552995,602.979175115208,,,,,8.0,4.445461777099915,13.386654190441456
215,21215998,424,3.511721698113208,left,fixation,4.0,,390.378009345794,620.403635514019,,,,,2.0,2.8140367942302396,10.483504535641526
216,21216426,0,,left,saccade,4.0,,,,411.81199999999995,603.547,411.81199999999995,603.547,,,
217,21216430,432,3.5110963302752287,left,fixation,5.0,,431.28598165137606,603.83456880734,,,,,1.0,3.832231917854417,12.377740100680695
218,21216862,20,,right,saccade,5.0,53.0,,,439.37800000000004,591.302,525.258,593.394,,,
219,21216866,16,,left,saccade,5.0,,,,434.39599999999996,600.807,509.385,605.013,,,
220,21216886,320,3.501449367088607,left,fixation,6.0,,518.998518518519,624.4140864197541,,,,,0.0,,
221,21216886,320,3.501449367088607,right,fixation,6.0,54.0,525.065567901234,604.45624691358,,,,,2.0,2.8808752611938537,12.329022798037824
222,21217210,20,,left,saccade,6.0,,,,510.539,615.2130000000002,476.42,699.422,,,
223,21217210,20,,right,saccade,6.0,54.0,,,540.874,622.2280000000002,490.215,722.8439999999997,,,
224,21217234,348,3.5086954022988497,right,fixation,7.0,55.0,489.226693181818,727.8360340909088,,,,,1.0,3.0719594271771125,3.12276800291026
225,21217234,352,3.508732954545455,left,fixation,7.0,,473.464719101124,715.482157303371,,,,,1.0,2.9061272674204,5.315820350613824
226,21217586,28,,right,saccade,7.0,55.0,,,476.105,720.6239999999997,538.02,618.2909999999998,,,
227,21217590,24,,left,saccade,7.0,,,,484.62699999999995,725.492,519.278,612.325,,,
228,21217618,540,3.504455882352941,left,fixation,8.0,,500.00926470588206,603.701007352941,,,,,2.0,2.6563851138987467,10.087006040620407
229,21217618,540,3.504455882352941,right,fixation,8.0,56.0,516.150308823529,603.559147058823,,,,,1.0,3.041216427864192,4.790281515735763
230,21218162,20,,right,saccade,8.0,56.0,,,511.847,608.1990000000002,478.841,693.0110000000003,,,
231,21218162,24,,left,saccade,8.0,,,,480.47,598.928,458.50199999999995,703.2330000000003,,,
232,21218186,268,3.5222313432835817,right,fixation,9.0,57.0,479.14319117647005,722.824132352941,,,,,1.0,2.4933876665203005,4.848053733200566
233,21218190,272,3.522566176470588,left,fixation,9.0,,469.810695652174,727.585304347826,,,,,0.0,,
234,21218458,16,,right,saccade,9.0,57.0,,,483.903,725.832,480.647,666.6619999999998,,,
235,21218466,8,,left,saccade,9.0,,,,475.043,701.1669999999997,472.608,681.9939999999998,,,
236,21218478,284,3.5209295774647886,left,fixation,10.0,,465.56493055555603,660.0760833333339,,,,,0.0,,
237,21218478,284,3.5209295774647886,right,fixation,10.0,58.0,468.88997222222196,655.799555555555,,,,,0.0,,
238,21218766,44,,left,saccade,10.0,,,,465.615,658.439,736.6110000000001,677.691,,,
239,21218766,48,,right,saccade,10.0,58.0,,,474.545,661.05,788.052,705.117,,,
240,21218814,404,3.5197178217821783,left,fixation,11.0,,732.334647058823,716.8852941176469,,,,,3.0,5.054675325144841,19.543027169318595
241,21218818,400,3.5196300000000003,right,fixation,11.0,59.0,752.966623762377,741.799792079208,,,,,1.0,10.69635741217023,56.8611564075161
242,21219222,24,,left,saccade,11.0,,,,706.727,723.59,879.398,722.975,,,
243,21219222,24,,right,saccade,11.0,59.0,,,736.0269999999997,737.058,912.421,742.836,,,
244,21219250,704,3.5025823863636365,left,fixation,12.0,,933.903598870056,739.7324689265538,,,,,2.0,9.32948492124341,48.2768983296495
245,21219250,704,3.5025823863636365,right,fixation,12.0,60.0,960.455322033898,737.1828870056502,,,,,2.0,7.568894154707451,31.772157241685978
246,21219958,44,,right,saccade,12.0,60.0,,,967.46,735.605,496.135,728.798,,,
247,21219958,52,,left,saccade,12.0,,,,944.74,741.308,461.42699999999996,705.6460000000003,,,
248,21220006,212,3.3678490566037733,right,fixation,13.0,61.0,478.43985185185204,713.1699074074071,,,,,1.0,3.311431488042547,7.818845055377453
249,21220014,204,3.3660196078431373,left,fixation,13.0,,470.673134615385,708.167326923077,,,,,0.0,,
250,21220222,20,,left,saccade,13.0,,,,474.54400000000004,711.919,484.329,619.327,,,
251,21220222,20,,right,saccade,13.0,61.0,,,490.254,719.591,499.941,632.779,,,
252,21220246,856,3.353640186915888,left,fixation,14.0,,485.715186046512,612.9326651162787,,,,,2.0,8.355386134472889,42.070499147112216
253,21220246,856,3.353640186915888,right,fixation,14.0,62.0,481.94726511627886,611.755972093023,,,,,6.0,5.756748473713226,19.478946750121256
254,21221106,36,,right,saccade,14.0,62.0,,,512.665,626.466,928.252,687.008,,,
255,21221106,44,,left,saccade,14.0,,,,520.674,631.406,907.128,681.462,,,
256,21221146,408,3.4877647058823538,right,fixation,15.0,63.0,955.8451553398061,704.328825242718,,,,,0.0,,
257,21221154,400,3.48863,left,fixation,15.0,,928.6965346534648,717.788306930693,,,,,1.0,3.766141722269888,11.83946434599125
258,21221558,44,,left,saccade,15.0,,,,937.558,722.212,526.268,624.555,,,
259,21221558,44,,right,saccade,15.0,63.0,,,950.388,712.4989999999997,534.216,617.4540000000002,,,
260,21221606,904,3.3514601769911496,right,fixation,16.0,64.0,517.326286343612,623.726339207049,,,,,9.0,2.885065070015642,9.972842554800039
261,21221606,908,3.3512995594713653,left,fixation,16.0,,512.8876228070179,622.399166666667,,,,,2.0,3.021476495328303,10.855455186930044
262,21222514,52,,right,saccade,16.0,64.0,,,528.835,635.355,936.505,654.078,,,
263,21222518,52,,left,saccade,16.0,,,,513.246,620.161,889.696,669.003,,,
264,21222570,391,3.4818608247422684,right,fixation,17.0,65.0,950.371080808081,707.9059292929289,,,,,4.0,3.96491378676068,16.904653359735974
265,21222574,387,3.4829270833333332,left,fixation,17.0,,912.696551020408,719.9586020408168,,,,,3.0,6.502046227151212,28.40969091554413
266,21222965,24,,left,saccade,17.0,,,,944.0930000000001,732.2139999999997,1123.2089999999996,735.832,,,
267,21222965,24,,right,saccade,17.0,65.0,,,964.948,726.9069999999997,1145.935,718.632,,,
268,21222993,485,3.458168032786885,left,fixation,18.0,,1177.60031147541,736.320909836066,,,,,4.0,4.057262704161268,15.121786055981884
269,21222993,485,3.458168032786885,right,fixation,18.0,66.0,1195.2198770491802,714.364598360656,,,,,1.0,3.335450935697351,13.906030238712935
270,21223482,60,,left,saccade,18.0,,,,1191.414,737.3689999999997,479.814,577.7180000000002,,,
