,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
22,2469232,28,,left,saccade,1.0,,,,719.3889999999999,279.805,452.668,396.608,,,
23,2469236,28,,right,saccade,1.0,6.0,,,697.434,284.478,440.94,411.043,,,
24,2469264,800,3.6078118811881184,left,fixation,1.0,,429.751721393035,428.12497512437795,,,,,1.0,9.753912743384342,30.43848830017677
25,2469268,796,3.607940298507463,right,fixation,1.0,7.0,401.81562,430.745705,,,,,2.0,11.062674800283242,34.81187720451909
26,2470068,40,,left,saccade,2.0,,,,407.593,472.26300000000003,919.3860000000001,516.0459999999998,,,
27,2470068,40,,right,saccade,2.0,7.0,,,374.894,466.96,926.6519999999999,521.732,,,
28,2470112,368,3.5482065217391305,left,fixation,2.0,,943.673204301075,542.781913978494,,,,,2.0,7.946051422314862,17.425115517867297
29,2470112,368,3.5482065217391305,right,fixation,2.0,8.0,943.1320860215061,549.834172043011,,,,,6.0,5.575438504374998,16.868727094205735
30,2470484,44,,left,saccade,3.0,,,,952.3689999999999,552.2180000000002,460.399,488.027,,,
31,2470484,44,,right,saccade,3.0,8.0,,,946.5269999999999,559.129,439.38800000000003,475.173,,,
32,2470532,300,3.5562533333333333,right,fixation,3.0,9.0,435.581381578947,455.58721052631597,,,,,0.0,,
33,2470532,304,3.5561184210526315,left,fixation,3.0,,444.0757662337661,458.284350649351,,,,,0.0,,
34,2470836,40,,right,saccade,4.0,9.0,,,439.226,455.98199999999997,952.18,504.525,,,
35,2470840,40,,left,saccade,4.0,,,,440.4,449.032,942.813,509.533,,,
36,2470880,240,3.4543166666666667,right,fixation,4.0,10.0,966.284655737704,532.624557377049,,,,,0.0,,
37,2470884,232,3.4549576271186444,left,fixation,4.0,,980.737220338983,541.841220338983,,,,,1.0,13.158480197618232,25.51020746681601
38,2471120,44,,left,saccade,5.0,,,,993.6210000000001,567.232,432.032,539.099,,,
39,2471124,40,,right,saccade,5.0,10.0,,,968.056,536.547,409.57800000000003,524.737,,,
40,2471168,312,3.4839615384615388,left,fixation,5.0,,405.92570886075896,486.494151898734,,,,,1.0,10.07898665541335,27.906828429615523
41,2471168,444,3.479108108108108,right,fixation,5.0,11.0,383.09625,471.108491071429,,,,,2.0,6.449076711079531,17.28647870089795
42,2471484,20,,left,saccade,6.0,,,,420.745,507.07599999999996,419.715,438.36300000000006,,,
43,2471508,108,3.4698333333333338,left,fixation,6.0,,404.296857142857,429.51703571428595,,,,,2.0,5.184282176114162,18.015614407945424
44,2471616,44,,right,saccade,6.0,11.0,,,383.082,441.337,983.007,540.68,,,
45,2471620,40,,left,saccade,7.0,,,,419.589,435.551,966.012,505.167,,,
