,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
61,2336847,51,,left,saccade,1.0,,,,1195.19,245.53099999999998,541.842,361.233,,,
62,2336898,477,2.9820458333333333,right,fixation,1.0,16.0,483.8661833333329,365.0052583333329,,,,,2.0,5.146302093252299,13.017259741250065
63,2336902,329,2.9902530120481923,left,fixation,1.0,,513.58756626506,383.0143012048191,,,,,1.0,12.851414903728635,33.74688206338478
64,2337235,0,,left,saccade,2.0,,,,483.86,394.611,483.86,394.611,,,
65,2337239,136,2.9626911764705883,left,fixation,2.0,,452.871,412.83948571428596,,,,,1.0,4.512826097789387,19.86029325060437
66,2337379,16,,left,saccade,3.0,,,,436.00300000000004,411.621,445.108,467.651,,,
67,2337379,16,,right,saccade,1.0,16.0,,,420.94300000000004,404.61400000000003,460.17699999999996,450.00199999999995,,,
68,2337399,232,2.930810344827587,left,fixation,3.0,,479.9333559322029,498.8808474576271,,,,,0.0,,
69,2337399,236,2.9307118644067804,right,fixation,2.0,17.0,472.8885,467.774266666667,,,,,0.0,,
70,2337635,24,,left,saccade,4.0,,,,487.222,497.74300000000005,462.735,388.39,,,
71,2337639,20,,right,saccade,2.0,17.0,,,479.024,466.6,468.89099999999996,370.42400000000004,,,
72,2337663,675,2.9051369047619047,left,fixation,4.0,,487.85888823529297,380.844823529412,,,,,1.0,7.1662854200919215,51.43817439412098
73,2337663,675,2.9051369047619047,right,fixation,3.0,18.0,488.148235294117,366.909547058824,,,,,2.0,7.555239734086777,20.17674859560796
74,2338342,24,,right,saccade,3.0,18.0,,,528.14,381.79,700.9680000000003,431.353,,,
75,2338342,28,,left,saccade,5.0,,,,543.165,407.827,699.987,459.97,,,
76,2338370,268,2.944626865671642,right,fixation,4.0,19.0,715.90075,473.747867647059,,,,,0.0,,
77,2338374,264,2.9453181818181817,left,fixation,5.0,,720.0180149253729,488.951343283582,,,,,0.0,,
78,2338642,24,,left,saccade,6.0,,,,735.993,507.19599999999997,886.248,506.149,,,
79,2338642,24,,right,saccade,4.0,19.0,,,725.7589999999999,469.86,868.123,467.126,,,
80,2338670,96,2.9087916666666667,right,fixation,5.0,20.0,908.7655199999999,488.39404,,,,,1.0,5.5119209118862225,10.972912466615153
81,2338670,100,2.9087400000000003,left,fixation,6.0,,896.313769230769,497.7697307692311,,,,,0.0,,
82,2338770,24,,right,saccade,5.0,20.0,,,917.171,498.19300000000004,780.265,490.327,,,
83,2338774,20,,left,saccade,7.0,,,,899.0189999999999,496.3,766.732,498.07599999999996,,,
84,2338798,164,2.9082317073170727,left,fixation,7.0,,753.329642857143,505.95928571428595,,,,,0.0,,
85,2338798,164,2.9082317073170727,right,fixation,6.0,21.0,748.450928571429,471.44773809523804,,,,,0.0,,
86,2338966,28,,left,saccade,8.0,,,,752.095,508.619,537.075,517.567,,,
87,2338966,28,,right,saccade,6.0,21.0,,,740.159,464.75800000000004,522.5740000000002,473.349,,,
88,2338998,808,2.9075594059405936,left,fixation,8.0,,493.366655172414,508.5237733990149,,,,,1.0,4.943559536294541,12.490601146462096
89,2338998,808,2.9075594059405936,right,fixation,7.0,22.0,485.9114532019709,477.707354679803,,,,,0.0,,
90,2339810,28,,left,saccade,9.0,,,,489.472,488.097,681.048,493.885,,,
91,2339810,28,,right,saccade,7.0,22.0,,,507.82800000000003,474.776,716.3510000000001,466.14099999999996,,,
92,2339842,296,2.9727094594594594,right,fixation,8.0,23.0,721.325706666667,464.28848,,,,,1.0,5.728534660898122,18.85947212941017
93,2339842,2656,3.033232680722892,left,fixation,9.0,,721.866592481203,507.2240571428569,,,,,2.0,9.18642823155649,28.001086871197465
94,2340142,4,,right,saccade,8.0,23.0,,,737.806,474.12800000000004,736.9830000000003,480.745,,,
95,2340150,2216,3.037945848375452,right,fixation,9.0,24.0,714.712468468468,469.908628828828,,,,,3.0,8.436654452896882,20.87983326678185
96,2342370,4,,right,saccade,9.0,24.0,,,708.904,449.292,708.904,464.874,,,
97,2342378,120,3.095133333333333,right,fixation,10.0,25.0,719.0439032258072,478.5757096774189,,,,,0.0,,
