,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
363,2665820,56,,right,saccade,1.0,96.0,,,1375.399,456.64300000000003,500.099,550.3330000000002,,,
365,2665880,536,3.69479498807884,right,fixation,1.0,97.0,471.498851851851,591.276711111111,,,,,1.0,9.599597861947716,29.92987151659693
366,2666040,4,,left,saccade,1.0,,,,493.441,538.964,491.098,546.572,,,
367,2666048,360,3.6834023489707386,left,fixation,1.0,,452.842923076923,573.098945054945,,,,,0.0,,
368,2666412,48,,left,saccade,2.0,,,,440.76199999999994,583.881,412.76300000000003,549.7040000000002,,,
369,2666420,40,,right,saccade,2.0,97.0,,,432.38800000000003,616.0169999999998,453.735,614.0419999999998,,,
370,2666620,288,3.5678190118152524,right,fixation,2.0,98.0,437.110232876712,593.788726027397,,,,,1.0,8.669520557357545,34.726526863480004
371,2666628,288,3.5676398348813207,left,fixation,2.0,,457.52301369863,570.987753424658,,,,,2.0,5.373401829945923,34.398409151047375
372,2666912,24,,right,saccade,3.0,98.0,,,433.56699999999995,605.387,553.4730000000002,609.0369999999998,,,
373,2666920,12,,left,saccade,3.0,,,,481.409,556.975,527.39,560.4780000000002,,,
374,2666936,308,3.5544025974025963,left,fixation,3.0,,553.87908974359,576.461705128205,,,,,3.0,4.859704146650572,19.58924115797469
375,2666940,304,3.5540789473684216,right,fixation,3.0,99.0,548.9642597402599,625.694558441559,,,,,0.0,,
376,2667248,20,,left,saccade,4.0,,,,535.4069999999998,578.7909999999998,458.061,584.536,,,
377,2667248,20,,right,saccade,4.0,99.0,,,548.014,611.852,439.36,620.612,,,
378,2667272,1548,3.5512487113402065,left,fixation,4.0,,444.598927835051,585.658015463917,,,,,7.0,5.325154158628038,16.42961016245587
379,2667272,1560,3.5518235294117644,right,fixation,4.0,100.0,432.460603580562,621.480168797954,,,,,1.0,7.256021043856549,13.01966159314445
380,2668824,20,,left,saccade,5.0,,,,453.644,565.313,536.321,562.365,,,
381,2668836,4,,right,saccade,5.0,100.0,,,477.73400000000004,623.047,488.24800000000016,622.961,,,
382,2668844,920,3.617958695652174,right,fixation,5.0,101.0,531.140112554112,631.811519480519,,,,,0.0,,
383,2668848,904,3.617929203539824,left,fixation,5.0,,556.372629955947,573.579594713656,,,,,1.0,5.0876475381282065,11.897554118389206
384,2669756,20,,left,saccade,6.0,,,,544.886,590.544,454.978,587.562,,,
385,2669768,8,,right,saccade,6.0,101.0,,,481.43300000000005,628.065,471.36300000000006,609.682,,,
386,2669780,1180,3.667057627118645,right,fixation,6.0,102.0,434.6124831081089,609.6320337837831,,,,,1.0,5.9702394447608205,20.78640644748394
387,2669780,1188,3.6675505050505035,left,fixation,6.0,,452.195080536913,581.8983791946309,,,,,2.0,5.073353487075723,14.038125879046651
388,2670964,20,,right,saccade,7.0,102.0,,,443.23900000000003,608.7330000000002,526.184,609.523,,,
389,2670972,16,,left,saccade,7.0,,,,474.718,572.112,533.691,571.805,,,
390,2670988,268,3.727955223880597,right,fixation,7.0,103.0,535.411147058823,612.687514705883,,,,,0.0,,
391,2670992,272,3.7279264705882365,left,fixation,7.0,,557.363202898551,574.889898550725,,,,,0.0,,
392,2671260,24,,right,saccade,8.0,103.0,,,539.461,609.9159999999998,664.449,635.445,,,
393,2671268,16,,left,saccade,8.0,,,,567.8580000000002,572.3380000000002,647.406,570.339,,,
394,2671288,824,3.7014344660194176,left,fixation,8.0,,679.745922705314,563.896429951691,,,,,2.0,10.254869424903994,38.90846234959224
395,2671288,1228,3.695648208469055,right,fixation,8.0,104.0,711.73883116883,622.451983766234,,,,,2.0,6.148877589619201,17.248264465252408
396,2672116,0,,left,saccade,9.0,,,,759.615,562.607,759.615,562.607,,,
397,2672120,408,3.685808823529412,left,fixation,9.0,,769.122242718446,572.335601941748,,,,,1.0,10.328614784234643,20.171918029776002
398,2672520,20,,right,saccade,9.0,104.0,,,774.17,611.889,849.279,615.192,,,
399,2672532,0,,left,saccade,10.0,,,,825.1439999999999,567.021,825.1439999999999,567.021,,,
400,2672536,656,3.7442530487804886,left,fixation,10.0,,866.144587878787,573.955812121212,,,,,0.0,,
401,2672544,644,3.744186335403728,right,fixation,9.0,105.0,865.8672839506171,614.172827160494,,,,,0.0,,
402,2673192,40,,right,saccade,10.0,105.0,,,874.31,607.83,558.1709999999998,612.497,,,
403,2673196,36,,left,saccade,11.0,,,,870.672,569.643,556.184,570.999,,,
404,2673236,396,3.7665555555555565,left,fixation,11.0,,549.98477,565.34999,,,,,0.0,,
405,2673236,396,3.7665555555555565,right,fixation,10.0,106.0,540.9304400000002,602.4929,,,,,0.0,,
406,2673636,20,,left,saccade,12.0,,,,551.563,574.83,443.01599999999996,579.865,,,
407,2673636,20,,right,saccade,11.0,106.0,,,523.141,604.573,435.134,617.556,,,
408,2673660,679,3.764695266272189,right,fixation,11.0,107.0,433.430994152047,626.833643274854,,,,,0.0,,
409,2673660,683,3.7644470588235297,left,fixation,12.0,,439.81144186046487,575.086191860465,,,,,0.0,,
410,2674343,48,,right,saccade,12.0,107.0,,,429.83099999999996,605.668,925.551,612.01,,,
411,2674347,44,,left,saccade,13.0,,,,465.88300000000004,585.727,874.1610000000003,563.244,,,
412,2674395,889,3.7010986547085203,left,fixation,13.0,,865.170834080717,576.059686098655,,,,,2.0,4.402800995272724,19.10983192154845
413,2674395,893,3.7009709821428567,right,fixation,12.0,108.0,873.1769910714281,627.298504464286,,,,,0.0,,
414,2675288,24,,left,saccade,14.0,,,,851.2489999999997,586.107,726.3580000000003,576.3530000000002,,,
415,2675292,20,,right,saccade,13.0,108.0,,,855.513,641.448,740.2,638.396,,,
416,2675316,852,3.731295774647888,left,fixation,14.0,,747.697453271027,562.223518691588,,,,,2.0,4.461021587521633,10.333948189866877
417,2675316,852,3.731295774647888,right,fixation,13.0,109.0,739.7446261682228,645.133537383178,,,,,0.0,,
418,2676172,12,,right,saccade,14.0,109.0,,,720.791,659.25,672.937,650.919,,,
419,2676172,16,,left,saccade,15.0,,,,733.703,572.211,669.5,572.082,,,
420,2676188,567,3.701932624113475,right,fixation,14.0,110.0,663.791657342657,644.895433566433,,,,,0.0,,
421,2676192,555,3.702394927536232,left,fixation,15.0,,662.6301142857141,556.2742,,,,,0.0,,
422,2676751,24,,left,saccade,16.0,,,,675.324,568.4119999999998,570.9,576.4169999999998,,,
424,2676779,565,3.650244718309859,right,fixation,15.0,111.0,545.6030211267599,651.3156126760559,,,,,2.0,139.77345206742172,417.5471372268966
425,2676779,573,3.6499461805555553,left,fixation,16.0,,563.107604166667,597.7451180555549,,,,,2.0,136.76248861854708,411.9048725459864
426,2677348,24,,right,saccade,15.0,111.0,,,534.484,643.3240000000002,653.127,633.515,,,
427,2677356,20,,left,saccade,17.0,,,,564.35,598.995,636.576,578.702,,,
428,2677376,475,3.5946864406779664,right,fixation,16.0,112.0,649.368,638.067625,,,,,0.0,,
429,2677380,463,3.5946956521739133,left,fixation,17.0,,658.279333333334,561.903692307692,,,,,0.0,,
430,2677847,20,,left,saccade,18.0,,,,659.936,567.622,579.461,559.698,,,
431,2677855,12,,right,saccade,16.0,112.0,,,652.071,630.3919999999998,605.894,628.817,,,
432,2677871,600,3.5702633333333336,left,fixation,18.0,,554.54698013245,557.666357615894,,,,,2.0,6.279982388331013,44.01173938006728
433,2677871,2284,3.6405026269702274,right,fixation,17.0,113.0,456.23086713286796,608.777555944056,,,,,2.0,5.38241906457305,16.100343024890787
434,2678475,20,,left,saccade,19.0,,,,567.461,583.89,488.264,579.455,,,
435,2678499,1664,3.667675480769231,left,fixation,19.0,,455.296431654676,578.773570743405,,,,,1.0,3.80284215715331,10.666805754301576
436,2680159,20,,right,saccade,17.0,113.0,,,438.79,595.462,514.215,597.187,,,
437,2680167,12,,left,saccade,20.0,,,,471.652,576.837,518.7330000000002,573.909,,,
438,2680183,1384,3.664553468208093,right,fixation,18.0,114.0,536.146844380404,632.883221902018,,,,,0.0,,
439,2680183,1388,3.664443804034582,left,fixation,20.0,,544.30183045977,581.562252873563,,,,,1.0,3.769620324235442,6.869870013326384
440,2681571,24,,right,saccade,18.0,114.0,,,541.007,654.075,665.5889999999997,616.237,,,
441,2681575,24,,left,saccade,21.0,,,,550.158,607.02,642.125,567.0930000000002,,,
442,2681599,1236,3.6207912621359215,right,fixation,19.0,115.0,658.680058064516,630.573383870968,,,,,1.0,4.798922926032452,11.640435773629806
443,2681603,1232,3.6207483766233772,left,fixation,21.0,,653.969663430421,560.062737864078,,,,,0.0,,
444,2682839,24,,left,saccade,22.0,,,,649.891,579.4119999999998,503.165,580.429,,,
445,2682839,24,,right,saccade,19.0,115.0,,,644.1669999999998,628.691,506.668,620.085,,,
446,2682867,324,3.820290123456792,right,fixation,20.0,116.0,475.82102439024396,611.0217682926831,,,,,0.0,,
447,2682867,332,3.821222891566266,left,fixation,22.0,,484.992976190476,580.1231190476191,,,,,0.0,,
448,2683195,12,,right,saccade,20.0,116.0,,,474.32800000000003,609.623,533.212,608.424,,,
449,2683203,12,,left,saccade,23.0,,,,499.75199999999995,572.5840000000002,542.945,569.263,,,
450,2683211,624,3.8538461538461535,right,fixation,21.0,117.0,537.208114649681,623.049585987261,,,,,0.0,,
451,2683219,612,3.8535130718954247,left,fixation,23.0,,546.013857142857,575.95698051948,,,,,0.0,,
