,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
177,1773640,32,,right,saccade,1.0,43.0,,,511.19699999999995,367.971,424.469,653.224,,,
178,1773676,148,3.2294473684210527,right,fixation,1.0,44.0,427.999131578947,680.609684210526,,,,,0.0,,
180,1773828,20,,right,saccade,2.0,44.0,,,436.825,682.694,440.29699999999997,612.3009999999998,,,
181,1773852,400,3.2639750000000003,right,fixation,2.0,45.0,487.162495049505,620.7099603960401,,,,,1.0,10.976674366076844,34.611135231309525
352,1800010,48,,left,saccade,1.0,,,,1194.3310000000001,414.601,479.921,686.674,,,
353,1800010,52,,right,saccade,3.0,85.0,,,1186.934,452.76199999999994,455.86,688.22,,,
354,1800062,168,3.198166666666667,left,fixation,1.0,,476.860720930233,715.184348837209,,,,,0.0,,
355,1800066,148,3.196270270270268,right,fixation,3.0,86.0,440.130763157895,722.7048157894742,,,,,0.0,,
356,1800218,20,,right,saccade,4.0,86.0,,,447.191,686.159,488.515,638.15,,,
357,1800234,0,,left,saccade,2.0,,,,486.536,685.4169999999998,486.536,685.4169999999998,,,
358,1800238,524,3.2606663657604082,left,fixation,2.0,,448.960636363636,653.143909090909,,,,,1.0,13.460821352065489,47.29337646013443
359,1800242,156,3.24897435897436,right,fixation,4.0,87.0,497.119525,631.145825,,,,,0.0,,
360,1800402,20,,right,saccade,5.0,87.0,,,479.746,633.405,406.296,630.732,,,
361,1800426,340,3.2667966856060606,right,fixation,5.0,88.0,396.0928255813951,613.772488372093,,,,,0.0,,
362,1800766,40,,left,saccade,3.0,,,,390.42800000000005,632.506,343.858,596.672,,,
364,1800934,160,3.1283548387096776,left,fixation,3.0,,399.277390243902,619.595804878049,,,,,0.0,,
366,1801098,20,,left,saccade,4.0,,,,430.565,617.0880000000002,512.597,620.74,,,
367,1801098,20,,right,saccade,6.0,89.0,,,386.652,568.298,506.04400000000004,586.8480000000002,,,
368,1801122,920,3.2311913043478264,right,fixation,6.0,90.0,479.384545454545,622.2722683982689,,,,,3.0,14.925132524868696,53.35009272669132
