,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,9549541,0,,left,saccade,1.0,,,,433.785,118.355,433.785,118.355,,,
11,9549544,1897,3.4911463157894738,left,fixation,1.0,,495.3609747368431,124.023054736842,,,,,8.0,5.159158442531735,18.423861105004217
12,9550237,16,,right,saccade,1.0,3.0,,,486.207,161.135,538.437,156.86,,,
13,9550257,1184,3.5175050675675683,right,fixation,1.0,4.0,543.305212121212,160.269720538721,,,,,7.0,5.644011544810208,22.30007453412032
14,9551445,20,,left,saccade,2.0,,,,525.019,132.423,499.276,197.36900000000003,,,
15,9551445,20,,right,saccade,2.0,4.0,,,558.614,163.938,521.515,234.993,,,
16,9551469,160,3.538825,left,fixation,2.0,,481.1583902439029,225.72446341463402,,,,,0.0,,
17,9551469,160,3.538825,right,fixation,2.0,5.0,503.399829268293,244.759073170732,,,,,1.0,3.698991773292947,5.338289801050543
18,9551633,28,,right,saccade,3.0,5.0,,,511.534,261.564,769.453,257.698,,,
19,9551633,32,,left,saccade,3.0,,,,478.444,239.65900000000002,730.0039999999997,235.688,,,
20,9551665,616,3.5165357142857143,right,fixation,3.0,6.0,763.086458064516,258.888761290323,,,,,1.0,3.5428484224482792,14.344191089078436
21,9551669,612,3.5164183006535943,left,fixation,3.0,,741.8479155844168,245.062714285714,,,,,1.0,3.5313128067177733,12.128742473974835
22,9552285,28,,left,saccade,4.0,,,,739.337,251.27200000000002,493.08099999999996,247.891,,,
23,9552285,28,,right,saccade,4.0,6.0,,,752.687,260.08299999999997,524.633,253.843,,,
24,9552317,192,3.4981875,left,fixation,4.0,,483.250387755102,241.49614285714298,,,,,2.0,3.6869712540903663,8.513874984821156
25,9552317,196,3.4981836734693883,right,fixation,4.0,7.0,507.3048,259.54996,,,,,0.0,,
26,9552513,24,,left,saccade,5.0,,,,489.835,245.645,530.81,157.048,,,
27,9552517,20,,right,saccade,5.0,7.0,,,502.119,251.31799999999998,566.738,188.655,,,
28,9552541,863,3.542355186579938,right,fixation,5.0,8.0,546.475055299539,164.510414746544,,,,,5.0,5.678761804676603,17.430724920189586
29,9552541,867,3.5423551865799388,left,fixation,5.0,,524.2742844036701,136.515133027523,,,,,3.0,6.925597466380972,31.422440078040452
30,9553408,40,,right,saccade,6.0,8.0,,,503.51199999999994,168.638,491.967,184.078,,,
31,9553412,40,,left,saccade,6.0,,,,467.151,114.01100000000001,450.99199999999996,115.40700000000001,,,
32,9553576,4,,right,fixation,6.0,9.0,491.967,184.078,,,,,0.0,,
33,9553584,8,,right,saccade,7.0,9.0,,,491.967,176.167,490.35900000000004,150.65,,,
34,9553596,376,3.5567559221554315,right,fixation,7.0,10.0,461.770378947368,153.985410526316,,,,,2.0,5.9152189521183125,22.87824533529625
