,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,1926335,16,,left,saccade,1.0,,,,483.652,282.858,483.087,220.90099999999998,,,
11,1926355,56,3.9158928571428575,left,fixation,1.0,,490.38699999999994,212.35886666666698,,,,,0.0,,
12,1926411,48,,right,saccade,1.0,3.0,,,510.54400000000004,213.771,1128.242,230.315,,,
13,1926415,44,,left,saccade,2.0,,,,495.161,210.543,1062.992,238.808,,,
14,1926463,132,3.9259545454545455,left,fixation,2.0,,1095.72026470588,281.62120588235297,,,,,2.0,8.153236677128817,24.033888066364213
15,1926463,132,3.9259545454545455,right,fixation,1.0,4.0,1133.79767647059,252.131411764706,,,,,0.0,,
16,1926599,20,,left,saccade,3.0,,,,1101.434,287.907,1178.799,285.844,,,
17,1926599,20,,right,saccade,2.0,4.0,,,1127.64,264.373,1204.39,261.937,,,
18,1926623,232,3.8983793103448265,left,fixation,3.0,,1193.39462711864,280.05942372881304,,,,,1.0,6.573176079931061,30.094609567163406
19,1926623,236,3.898,right,fixation,2.0,5.0,1213.3693,259.04458333333304,,,,,0.0,,
20,1926859,28,,left,saccade,4.0,,,,1208.384,247.912,976.145,248.635,,,
21,1926863,24,,right,saccade,3.0,5.0,,,1210.17,256.119,1024.4289999999999,245.972,,,
22,1926891,200,3.84301,left,fixation,4.0,,981.7875098039219,255.471294117647,,,,,1.0,7.578723553108692,29.99313204718709
23,1926891,204,3.842911764705882,right,fixation,3.0,6.0,998.787519230769,241.205692307692,,,,,1.0,3.8552418464273326,11.453982233267185
24,1927095,32,,left,saccade,5.0,,,,981.834,247.882,674.5930000000002,175.042,,,
25,1927099,40,,right,saccade,4.0,6.0,,,991.523,224.363,673.51,148.79399999999995,,,
26,1927131,124,3.863774193548387,left,fixation,5.0,,630.2601875,147.85075,,,,,0.0,,
27,1927143,112,3.865732142857144,right,fixation,4.0,7.0,654.888413793103,130.364965517241,,,,,1.0,3.6872508013725174,8.430169867802208
28,1927259,16,,left,saccade,6.0,,,,620.143,152.356,552.544,155.545,,,
29,1927259,16,,right,saccade,5.0,7.0,,,643.634,130.20600000000002,564.918,130.211,,,
30,1927279,240,3.86995,right,fixation,5.0,8.0,549.146393442623,129.137655737705,,,,,0.0,,
31,1927279,248,3.8696774193548387,left,fixation,6.0,,542.9743492063491,152.66380952381002,,,,,1.0,5.654252215024651,16.468487787286374
32,1927523,24,,right,saccade,6.0,8.0,,,550.45,135.624,499.32300000000004,228.89,,,
33,1927531,16,,left,saccade,7.0,,,,532.1080000000002,164.217,502.534,205.136,,,
34,1927551,596,3.8496275167785226,right,fixation,6.0,9.0,490.08192666666605,217.12226,,,,,2.0,4.9863380117102265,6.490399731741756
35,1927551,600,3.84962,left,fixation,7.0,,489.227112582781,221.75688741721802,,,,,2.0,6.551778833026117,12.611310349140645
36,1928151,24,,right,saccade,7.0,9.0,,,496.12199999999996,205.274,651.905,210.227,,,
37,1928155,24,,left,saccade,8.0,,,,511.145,211.518,659.4630000000002,222.605,,,
