,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
52,1780819,28,,left,saccade,1.0,,,,490.355,172.72400000000005,365.954,414.88599999999997,,,
53,1780819,28,,right,saccade,1.0,14.0,,,484.475,200.361,373.204,442.537,,,
54,1780851,128,3.2571250000000003,right,fixation,1.0,15.0,362.693393939394,449.30696969697,,,,,0.0,,
55,1780851,644,3.1848385093167697,left,fixation,1.0,,469.520518518518,398.467561728395,,,,,3.0,10.15551157580334,19.912995991621823
56,1780983,20,,right,saccade,2.0,15.0,,,350.789,445.51800000000003,412.315,432.38199999999995,,,
57,1781007,488,3.162639344262294,right,fixation,2.0,16.0,476.435170731707,418.849772357724,,,,,2.0,10.625659024944305,34.51448099300559
58,1781499,24,,right,saccade,3.0,16.0,,,528.269,411.07099999999997,692.177,441.968,,,
59,1781499,28,,left,saccade,2.0,,,,559.01,336.205,699.315,456.717,,,
60,1781527,136,3.1058088235294123,right,fixation,3.0,17.0,706.9571428571429,476.41328571428596,,,,,0.0,,
61,1781531,132,3.105257575757576,left,fixation,2.0,,718.4939411764709,464.048205882353,,,,,0.0,,
62,1781667,24,,right,saccade,4.0,17.0,,,701.206,486.32599999999996,582.8580000000002,434.379,,,
63,1781667,28,,left,saccade,3.0,,,,714.5219999999997,439.45099999999996,562.572,356.5,,,
64,1781695,128,3.120203125,right,fixation,4.0,18.0,556.91096969697,415.992121212121,,,,,1.0,6.348165100159955,11.35576514374969
65,1781699,124,3.120758064516129,left,fixation,3.0,,558.1285,357.9305625,,,,,0.0,,
66,1781827,24,,right,saccade,5.0,18.0,,,553.141,416.55,716.432,480.464,,,
67,1781827,28,,left,saccade,4.0,,,,561.243,357.579,738.0189999999999,463.869,,,
68,1781855,212,3.0968207547169815,right,fixation,5.0,19.0,732.4082037037041,490.28820370370397,,,,,0.0,,
69,1781859,208,3.0964230769230765,left,fixation,4.0,,747.541283018868,466.383962264151,,,,,0.0,,
70,1782071,24,,left,saccade,5.0,,,,748.1619999999997,466.30400000000003,952.648,471.654,,,
71,1782071,24,,right,saccade,6.0,19.0,,,736.357,493.13300000000004,949.3510000000001,495.871,,,
72,1782099,364,3.102324175824176,left,fixation,5.0,,965.443663043478,459.495,,,,,0.0,,
73,1782099,364,3.102324175824176,right,fixation,6.0,20.0,963.6783695652181,499.45071739130486,,,,,0.0,,
74,1782467,32,,right,saccade,7.0,20.0,,,967.72,503.599,589.123,416.82,,,
75,1782467,44,,left,saccade,6.0,,,,960.082,439.00199999999995,565.192,359.781,,,
76,1782503,676,3.1179556213017747,right,fixation,7.0,21.0,539.210541176471,391.9321941176471,,,,,1.0,4.547449471345956,14.60705322780742
77,1782515,664,3.117906626506024,left,fixation,6.0,,540.4447724550901,363.255113772455,,,,,0.0,,
78,1783183,32,,left,saccade,7.0,,,,535.336,371.08,915.1339999999999,415.38699999999994,,,
79,1783183,36,,right,saccade,8.0,21.0,,,530.418,370.925,924.77,452.53,,,
80,1783219,352,3.1103352272727283,left,fixation,7.0,,953.9741573033708,465.042235955056,,,,,0.0,,
81,1783223,348,3.1101034482758623,right,fixation,8.0,22.0,950.947670454545,480.432568181818,,,,,0.0,,
82,1783575,36,,left,saccade,8.0,,,,977.653,464.45099999999996,1418.235,465.12300000000016,,,
83,1783575,36,,right,saccade,9.0,22.0,,,962.6010000000001,483.72900000000004,1410.62,508.43800000000016,,,
84,1783615,292,3.1039520547945205,left,fixation,8.0,,1419.8022297297302,473.285648648649,,,,,0.0,,
85,1783615,292,3.1039520547945205,right,fixation,9.0,23.0,1432.4442702702695,509.562283783783,,,,,0.0,,
86,1783911,32,,left,saccade,9.0,,,,1414.6670000000001,501.111,1051.781,475.342,,,
87,1783911,32,,right,saccade,10.0,23.0,,,1430.892,503.37,1063.732,486.36400000000003,,,
