,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2406908,36,,left,saccade,1.0,,,,432.291,182.62599999999998,705.062,240.55,,,
11,2406908,36,,right,saccade,1.0,3.0,,,439.853,200.324,710.704,298.663,,,
12,2406948,312,3.314730769230769,left,fixation,1.0,,717.777518987341,260.652974683544,,,,,0.0,,
13,2406948,312,3.314730769230769,right,fixation,1.0,4.0,724.922139240506,301.833936708861,,,,,0.0,,
14,2407264,28,,left,saccade,2.0,,,,708.535,276.559,481.749,287.116,,,
15,2407264,28,,right,saccade,2.0,4.0,,,727.075,309.6620000000001,501.30199999999996,326.637,,,
16,2407296,237,3.32045,right,fixation,2.0,5.0,476.29115,336.92163333333303,,,,,1.0,3.2856278995717725,7.4698329967944765
17,2407296,241,3.320745901639344,left,fixation,2.0,,475.012344262295,292.205557377049,,,,,0.0,,
18,2407537,24,,right,saccade,3.0,5.0,,,468.199,325.874,452.371,208.365,,,
19,2407541,20,,left,saccade,3.0,,,,466.155,280.077,436.342,186.75799999999998,,,
20,2407565,963,3.410672916666667,right,fixation,3.0,6.0,398.105450413223,202.453636363636,,,,,3.0,5.251575214996817,17.564375938470427
21,2407565,967,3.4106597510373446,left,fixation,3.0,,417.535325102881,189.392666666667,,,,,0.0,,
22,2408532,28,,right,saccade,4.0,6.0,,,403.223,198.68200000000002,585.911,260.805,,,
23,2408536,28,,left,saccade,4.0,,,,430.67900000000003,187.023,588.794,245.81799999999998,,,
24,2408564,148,3.3979189189189194,right,fixation,4.0,7.0,597.5517631578949,295.17465789473704,,,,,0.0,,
25,2408568,148,3.3980405405405407,left,fixation,4.0,,612.253210526316,263.451789473684,,,,,0.0,,
26,2408716,12,,right,saccade,5.0,7.0,,,610.515,293.2390000000001,654.528,293.388,,,
27,2408720,4,,left,saccade,5.0,,,,645.5169999999998,281.808,660.678,283.842,,,
28,2408728,124,3.4320322580645164,left,fixation,5.0,,690.54003125,281.90153125,,,,,0.0,,
29,2408732,120,3.432716666666667,right,fixation,5.0,8.0,684.917612903226,307.52561290322603,,,,,0.0,,
30,2408856,24,,left,saccade,6.0,,,,697.168,280.368,531.0169999999998,286.243,,,
31,2408856,24,,right,saccade,6.0,8.0,,,686.3439999999998,316.543,513.0930000000002,333.519,,,
32,2408884,176,3.415454545454545,left,fixation,6.0,,520.911488888889,305.484044444444,,,,,0.0,,
33,2408884,176,3.415454545454545,right,fixation,6.0,9.0,509.5680666666671,341.784822222222,,,,,0.0,,
34,2409064,44,,left,saccade,7.0,,,,514.747,294.522,970.508,287.444,,,
35,2409064,44,,right,saccade,7.0,9.0,,,505.535,327.861,963.293,319.755,,,
36,2409112,300,3.36112,left,fixation,7.0,,968.2187368421048,294.417105263158,,,,,1.0,5.669186753357517,14.570757015337305
37,2409112,300,3.36112,right,fixation,7.0,10.0,967.1168421052632,325.71522368421,,,,,1.0,4.7431091801100855,10.567118102869903
38,2409416,28,,left,saccade,8.0,,,,954.9639999999999,305.464,751.442,303.86,,,
39,2409416,28,,right,saccade,8.0,10.0,,,949.3739999999999,347.86199999999997,760.462,341.5019999999999,,,
40,2409448,204,3.3343431372549026,left,fixation,8.0,,717.442442307692,292.720192307692,,,,,0.0,,
41,2409448,204,3.3343431372549026,right,fixation,8.0,11.0,717.208038461538,320.494730769231,,,,,1.0,6.121665398402603,29.010074887872936
42,2409656,52,,left,saccade,9.0,,,,720.508,300.26,1383.0810000000001,304.024,,,
43,2409656,52,,right,saccade,9.0,11.0,,,718.581,314.001,1379.6889999999999,334.82,,,
44,2409712,444,3.2838918918918925,left,fixation,9.0,,1414.18494642857,302.8038125,,,,,2.0,7.180677741730211,17.240449932892364
45,2409712,448,3.2837232142857142,right,fixation,9.0,12.0,1406.2479557522101,314.831796460177,,,,,1.0,7.920588702166599,24.056336711976925
46,2410160,64,,left,saccade,10.0,,,,1432.4979999999994,297.8520000000001,371.051,221.44299999999998,,,
47,2410164,64,,right,saccade,10.0,12.0,,,1409.19,343.855,400.801,236.921,,,
48,2410228,432,3.3160625,left,fixation,10.0,,395.999119266055,203.237871559633,,,,,0.0,,
49,2410232,428,3.316231578947369,right,fixation,10.0,13.0,407.1807592592591,230.34842592592602,,,,,1.0,7.192824854595638,41.8467820746112
50,2410664,84,,right,saccade,11.0,13.0,,,406.62199999999996,215.53799999999998,1442.1889999999999,212.671,,,
51,2410664,96,,left,saccade,11.0,,,,393.121,192.12099999999998,1436.845,187.715,,,
52,2410764,240,3.3568461538461536,left,fixation,11.0,,1444.32786885246,248.38677049180302,,,,,1.0,9.064425098212856,58.57050879922418
53,2410780,224,3.3555517241379307,right,fixation,11.0,14.0,1444.46284210526,246.14278947368402,,,,,0.0,,
54,2411008,60,,left,saccade,12.0,,,,1443.486,250.115,464.215,154.957,,,
55,2411008,64,,right,saccade,12.0,14.0,,,1454.567,245.889,474.56,172.403,,,
56,2411072,524,3.380497890295359,left,fixation,12.0,,430.459568181818,150.53675,,,,,2.0,7.945177297319303,29.669884476105203
57,2411076,520,3.3805617021276597,right,fixation,12.0,15.0,426.621305343511,169.283053435114,,,,,1.0,15.983229757224374,50.53401089365463
58,2411600,96,,right,saccade,13.0,15.0,,,421.647,194.274,1522.6789999999999,265.83099999999996,,,
59,2411600,92,,left,saccade,13.0,,,,419.76800000000003,166.68099999999995,1523.259,253.798,,,
60,2411696,688,3.3372590163934426,left,fixation,13.0,,1446.31096531792,289.088341040462,,,,,4.0,7.973652318573476,21.16086913609017
61,2411728,660,3.3364749163879597,right,fixation,13.0,16.0,1410.5159638554196,315.561975903615,,,,,2.0,9.396198073491368,54.602038035819255
63,2412392,84,,right,saccade,14.0,16.0,,,1392.799,306.082,316.176,556.602,,,
