,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2751465,20,,left,saccade,1.0,,,,474.05400000000003,271.403,445.54699999999997,194.905,,,
11,2751469,20,,right,saccade,1.0,3.0,,,469.689,269.762,446.904,209.205,,,
12,2751489,1196,3.200110367892977,left,fixation,1.0,,428.31614,170.823216666667,,,,,10.0,6.427988831405108,20.287600447625394
13,2751493,1192,3.2002432885906043,right,fixation,1.0,4.0,420.113461538461,158.027698996655,,,,,9.0,7.2807425204192375,23.30199473632409
14,2752689,28,,right,saccade,2.0,4.0,,,412.21,201.833,695.1239999999997,218.358,,,
15,2752689,36,,left,saccade,2.0,,,,407.56800000000004,169.215,703.821,266.4,,,
16,2752721,392,3.274086734693878,right,fixation,2.0,5.0,719.17901010101,252.658232323232,,,,,2.0,5.859248388713585,21.379245868506786
17,2752729,380,3.2747526315789486,left,fixation,2.0,,729.809635416667,299.29776041666696,,,,,4.0,7.296634275489947,27.6228955344212
18,2753113,28,,left,saccade,3.0,,,,745.9060000000003,250.558,516.927,301.384,,,
19,2753117,24,,right,saccade,3.0,5.0,,,737.314,230.92700000000002,530.352,260.48400000000004,,,
20,2753145,148,3.2660405405405406,left,fixation,3.0,,498.83547368421097,285.84502631579,,,,,0.0,,
21,2753145,148,3.2660405405405406,right,fixation,3.0,6.0,483.05302631579,271.461710526316,,,,,1.0,6.025191822672522,28.360144781012586
22,2753297,20,,left,saccade,4.0,,,,509.858,289.337,703.3510000000001,293.705,,,
23,2753297,20,,right,saccade,4.0,6.0,,,502.42199999999997,278.415,677.1460000000002,280.699,,,
24,2753321,76,3.291684210526315,right,fixation,4.0,7.0,696.56435,279.3097,,,,,1.0,3.0555298231239463,7.274372618996189
25,2753321,672,3.3933890532544377,left,fixation,4.0,,741.076485207101,291.161686390532,,,,,6.0,6.684997734831637,20.355304977551103
26,2753401,0,,right,saccade,5.0,7.0,,,747.95,269.154,747.95,269.154,,,
27,2753405,588,3.4078766891891896,right,fixation,5.0,8.0,732.192148648649,255.925074324324,,,,,5.0,5.6016059666472975,17.767751193353728
