,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
244,2541917,132,3.274106060606061,left,fixation,1.0,,578.759147058824,407.2789705882351,,,,,0.0,,
246,2542049,28,,right,saccade,1.0,63.0,,,552.1709999999998,375.45099999999996,463.233,438.077,,,
247,2542053,20,,left,saccade,1.0,,,,568.779,395.466,507.495,440.58,,,
248,2542077,292,3.2210719696969696,left,fixation,2.0,,449.116189189189,455.3332027027031,,,,,4.0,3.726313476893218,12.738860221939678
249,2542081,288,3.2206586073500967,right,fixation,1.0,64.0,434.26778082191805,469.905753424657,,,,,1.0,3.986340433976439,8.059926178321968
250,2542373,40,,left,saccade,2.0,,,,431.355,464.44,429.423,386.42900000000003,,,
251,2542373,52,,right,saccade,2.0,64.0,,,430.814,500.75800000000004,428.034,411.796,,,
252,2542517,1336,3.1637529740049932,left,fixation,3.0,,443.890459701493,464.357116417911,,,,,3.0,7.445610240689956,34.47631119811726
253,2542533,1316,3.1636565492853985,right,fixation,2.0,65.0,419.060675757575,454.395842424242,,,,,0.0,,
254,2543853,20,,right,saccade,3.0,65.0,,,436.69699999999995,475.89099999999996,522.557,478.13699999999994,,,
255,2543857,16,,left,saccade,3.0,,,,463.902,475.423,538.371,491.439,,,
256,2543877,1008,3.1521269841269843,left,fixation,4.0,,535.026387351779,471.9576126482209,,,,,2.0,7.427705422456977,32.31450946319688
257,2543877,1008,3.1521269841269843,right,fixation,3.0,66.0,523.363482213439,477.015162055336,,,,,1.0,5.052731054698143,6.429652945532969
258,2544889,20,,left,saccade,4.0,,,,521.452,465.273,418.086,463.61,,,
259,2544889,20,,right,saccade,4.0,66.0,,,501.684,442.838,406.13800000000003,447.148,,,
260,2544913,556,3.182205035971223,right,fixation,4.0,67.0,399.731671428571,438.642785714286,,,,,2.0,5.4480627678990485,13.06494648852867
261,2544913,560,3.1821464285714285,left,fixation,5.0,,425.11151063829806,475.787120567376,,,,,1.0,5.6561513073035,34.69765255748574
262,2545473,20,,right,saccade,5.0,67.0,,,402.536,433.38199999999995,482.94199999999995,433.844,,,
263,2545477,16,,left,saccade,5.0,,,,438.537,475.13300000000004,507.496,475.32099999999997,,,
264,2545497,64,3.1339375,left,fixation,6.0,,516.326529411765,491.9677058823529,,,,,0.0,,
265,2545497,504,3.124376984126984,right,fixation,5.0,68.0,443.647047244094,470.917874015748,,,,,2.0,11.002074955084636,29.201373329666538
266,2545565,16,,left,saccade,6.0,,,,517.273,498.144,454.77,496.189,,,
267,2545585,416,3.1232980769230765,left,fixation,7.0,,443.98528571428596,497.2231428571431,,,,,0.0,,
268,2546005,20,,left,saccade,7.0,,,,430.778,484.139,542.072,475.219,,,
269,2546005,20,,right,saccade,6.0,68.0,,,424.525,482.10699999999997,526.564,475.664,,,
270,2546029,1196,3.1252040133779264,left,fixation,8.0,,549.7514166666671,503.653343333332,,,,,3.0,3.888253573818378,10.615566225974641
271,2546029,1196,3.1252040133779264,right,fixation,6.0,69.0,540.235976666666,481.560456666666,,,,,2.0,5.661202681602926,18.288366580797167
272,2547229,16,,left,saccade,8.0,,,,576.414,517.497,633.052,507.80800000000005,,,
273,2547229,16,,right,saccade,7.0,69.0,,,569.9069999999998,479.265,631.624,464.124,,,
274,2547249,536,3.1320730593607307,right,fixation,7.0,70.0,640.533392592593,452.297822222222,,,,,1.0,5.636353160017947,14.015207882867776
275,2547249,540,3.1320730593607307,left,fixation,9.0,,646.357036764706,493.819360294118,,,,,0.0,,
276,2547789,40,,right,saccade,8.0,70.0,,,634.735,445.0,637.482,394.02099999999996,,,
277,2547793,40,,left,saccade,9.0,,,,646.379,486.92699999999996,642.007,410.434,,,
278,2547949,504,3.0976900252525246,left,fixation,10.0,,654.014960629921,472.085007874016,,,,,2.0,8.727528298872627,17.036968317986158
279,2547965,492,3.097588125,right,fixation,8.0,71.0,649.4170887096769,457.63641129032203,,,,,0.0,,
280,2548457,24,,left,saccade,10.0,,,,662.6610000000003,465.48800000000006,480.36300000000006,478.009,,,
281,2548461,20,,right,saccade,9.0,71.0,,,645.215,456.994,483.085,451.005,,,
282,2548485,660,3.1109515151515152,right,fixation,9.0,72.0,433.675090361446,461.6265361445781,,,,,3.0,6.7012881266543785,21.436699348399454
283,2548485,664,3.1107018072289154,left,fixation,11.0,,449.7477065868261,483.657598802395,,,,,2.0,4.098191127563283,15.714925413694447
284,2549149,24,,right,saccade,10.0,72.0,,,433.966,493.43199999999996,596.018,467.541,,,
285,2549153,20,,left,saccade,11.0,,,,456.625,508.088,573.6,493.499,,,
286,2549177,836,3.0802153110047854,left,fixation,12.0,,632.198352380952,494.318038095238,,,,,3.0,5.764828014913748,20.655604600128104
287,2549177,836,3.0802153110047854,right,fixation,10.0,73.0,640.2823380952381,447.61619047619,,,,,1.0,5.9914269887157054,18.879776508211187
288,2550017,20,,left,saccade,12.0,,,,641.455,478.676,542.594,476.163,,,
289,2550017,20,,right,saccade,11.0,73.0,,,653.8969999999998,492.981,521.33,488.295,,,
290,2550041,351,3.104728,left,fixation,13.0,,529.2900674157299,470.934764044944,,,,,1.0,6.4125978550038445,15.349943061783677
291,2550041,355,3.104728,right,fixation,11.0,74.0,527.508988888889,468.691033333333,,,,,1.0,4.923155469592452,13.744107719310259
293,2550400,40,,right,saccade,12.0,74.0,,,530.7230000000002,492.483,667.332,415.085,,,
294,2550540,329,3.1229377990430622,right,fixation,12.0,75.0,661.086361445783,474.725518072289,,,,,0.0,,
295,2550548,333,3.1244659090909086,left,fixation,14.0,,651.221059523809,456.39296428571504,,,,,3.0,8.699683427416048,32.18848748787546
296,2550873,12,,right,saccade,13.0,75.0,,,655.693,467.06300000000016,706.153,461.66,,,
297,2550885,0,,left,saccade,13.0,,,,686.0369999999998,450.468,686.0369999999998,450.468,,,
298,2550889,140,3.1315142857142853,right,fixation,13.0,76.0,705.242833333333,458.413305555556,,,,,0.0,,
299,2550889,992,3.0734616935483867,left,fixation,15.0,,766.156024096386,439.907184738956,,,,,2.0,6.51599973311882,26.203955766749765
300,2551033,8,,right,saccade,14.0,76.0,,,720.6310000000003,446.996,742.176,449.731,,,
301,2551045,83,3.06515,right,fixation,14.0,77.0,759.002136363636,479.384454545455,,,,,0.0,,
