,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
86,10928723,396,4.450747474747475,right,fixation,1.0,22.0,416.35398,298.1393,,,,,9.0,4.492438759695466,14.893615591147269
87,10928723,400,4.45019,left,fixation,1.0,,453.428485148515,298.034702970297,,,,,3.0,8.090880814854454,21.166767162217557
88,10929123,20,,right,saccade,1.0,22.0,,,408.978,323.356,501.349,331.43199999999996,,,
89,10929127,16,,left,saccade,1.0,,,,444.619,307.344,507.121,308.77299999999997,,,
90,10929147,264,4.336234848484849,left,fixation,2.0,,528.397179104478,316.980119402985,,,,,2.0,2.7894124241417093,6.641890388186406
91,10929147,264,4.336234848484849,right,fixation,2.0,23.0,509.89723880597,326.922119402985,,,,,1.0,6.359199678855479,5.2368058967275175
92,10929415,20,,left,saccade,2.0,,,,538.289,320.4190000000001,627.696,322.362,,,
93,10929415,20,,right,saccade,2.0,23.0,,,507.858,306.573,630.526,310.371,,,
94,10929439,124,4.319775163398694,left,fixation,3.0,,644.96215625,326.67546875,,,,,1.0,6.7903369352665175,7.943739484650862
95,10929439,124,4.319775163398694,right,fixation,3.0,24.0,634.080125,320.07415625,,,,,3.0,4.658218331536118,6.123187866920756
96,10929567,40,,left,saccade,3.0,,,,650.331,333.494,680.336,348.274,,,
97,10929567,40,,right,saccade,3.0,24.0,,,629.465,338.4840000000001,628.318,339.1980000000001,,,
98,10929695,128,4.4353333333333325,right,fixation,4.0,25.0,661.148545454545,333.904696969697,,,,,2.0,4.3238382147452095,24.610739057382453
99,10929695,140,4.4246,left,fixation,4.0,,698.218138888889,348.5738333333329,,,,,2.0,7.192990629995784,10.274413992847863
100,10929827,12,,right,saccade,4.0,25.0,,,674.9639999999997,356.656,723.7080000000003,345.975,,,
101,10929839,0,,left,saccade,4.0,,,,741.687,353.728,741.687,353.728,,,
102,10929843,220,4.4165363636363635,left,fixation,5.0,,766.3742321428571,339.88660714285703,,,,,3.0,4.73441764268567,11.707697193792413
103,10929843,220,4.4165363636363635,right,fixation,5.0,26.0,739.067267857142,344.6960714285711,,,,,4.0,4.2610395731099295,9.823263687907195
104,10930067,20,,left,saccade,5.0,,,,756.1,344.658,852.2230000000003,344.72,,,
105,10930067,20,,right,saccade,5.0,26.0,,,739.329,333.963,824.195,324.4770000000001,,,
106,10930091,308,4.252051948051948,left,fixation,6.0,,867.579730769231,344.632512820513,,,,,1.0,5.509179375268934,17.16273171729946
107,10930091,312,4.251737179487179,right,fixation,6.0,27.0,837.369379746835,319.254,,,,,4.0,4.2120609867022285,12.680615348466706
108,10930403,28,,left,saccade,6.0,,,,861.368,333.1380000000001,634.948,340.2990000000001,,,
109,10930407,28,,right,saccade,6.0,27.0,,,843.2739999999999,323.77,598.7280000000002,315.7340000000001,,,
110,10930435,192,4.219729166666666,left,fixation,7.0,,607.953755102041,338.385775510204,,,,,3.0,8.428406795419429,19.055828869167613
111,10930439,464,4.212021367521368,right,fixation,7.0,28.0,524.248786324786,317.155247863248,,,,,7.0,6.621132435556254,22.456549738891773
112,10930631,0,,left,saccade,7.0,,,,570.323,343.778,570.323,343.778,,,
113,10930635,268,4.20683088235294,left,fixation,8.0,,535.714029411765,331.6755,,,,,1.0,5.616755612549925,17.652561967034806
