participant,time,stim,x,y,AoI
AAO14,2363060.7729492188,1-3,1198,237,1_d
AAO14,2368372.7729492188,1-3,721,461,2_b
AAO14,2374492.772460937,1-3,1445,691,3_e
AAO14,2375756.7729492188,1-3,1517,838,continue
AAO14,2385893.772460937,4-6,474,215,4_a
AAO14,2392621.7729492188,4-6,1446,446,5_e
AAO14,2401549.7729492188,4-6,718,683,6_b
AAO14,2404709.772460937,4-6,1534,821,continue
AAO14,2412172.7729492188,7-9,961,231,7_c
AAO14,2426732.7729492188,7-9,960,446,8_c
AAO14,2439052.7729492188,7-9,1209,686,9_d
AAO14,2440748.7729492188,7-9,1512,811,continue
AAO14,2441804.7729492188,7-9,1517,824,continue
AAO14,2485164.7729492188,10-12,734,227,10_b
AAO14,2494100.7729492188,10-12,720,452,11_b
AAO14,2518156.7729492188,10-12,495,679,12_a
AAO14,2519644.7729492188,10-12,1516,818,continue
AAO14,2549268.772460937,13-15,912,209,13_c
AAO14,2549540.7729492188,13-15,956,214,13_c
AAO14,2564148.7729492188,13-15,479,454,14_a
AAO14,2584236.7729492188,13-15,957,674,15_c
AAO14,2638700.7729492188,16-20,1490,157,16_d
AAO14,2649868.7729492188,16-20,1335,295,17_a
AAO14,2654748.7729492188,16-20,1377,432,18_b
AAO14,2660035.7729492188,16-20,1484,562,19_d
AAO14,2663684.7729492188,16-20,1543,705,20_e
AAO14,2664723.7729492188,16-20,1504,852,continue
AAO14,2681740.7729492188,21-25,1339,169,21_a
AAO14,2701764.7729492188,21-25,1386,293,22_b
AAO14,2725460.7729492188,21-25,1384,424,23_b
AAO14,2760220.7729492188,21-25,1434,561,24_c
AAO14,2784644.7729492188,21-25,692,716,not on any aoi
AAO14,2786444.7729492188,21-25,1482,701,25_d
AAO14,2787348.7729492188,21-25,1514,852,continue
AAO14,2849083.7729492188,26-30,1388,298,27_b
AAO14,2863515.7729492188,26-30,1384,567,29_b
AAO14,2908154.7729492188,31-33,720,267,31_b
AAO14,2912026.7729492188,31-33,969,531,32_c
AAO14,2915906.7729492188,31-33,720,802,33_b
AAO14,2917106.7729492188,31-33,1547,937,continue
AAO14,2920795.7729492188,34-36,1215,269,34_d
AAO14,2930211.7729492188,34-36,729,536,35_b
AAO14,2933971.7729492188,34-36,484,801,36_a
AAO14,2936323.7729492188,34-36,1508,941,continue
AAO14,2941114.7729492188,37-39,1439,270,37_e
AAO14,2945114.7729492188,37-39,1223,533,38_d
AAO14,2952066.7729492188,37-39,968,802,39_c
AAO14,2954458.7734375,37-39,1537,934,continue
AAO14,2967298.7729492188,40-42,720,262,40_b
AAO14,2969162.7734375,40-42,725,269,40_b
AAO14,2986330.7729492188,40-42,959,534,41_c
AAO14,3006978.7734375,40-42,1437,805,42_e
AAO14,3008338.7729492188,40-42,1550,913,continue
AAO14,3029618.7729492188,43-45,1237,280,43_d
AAO14,3047162.7734375,43-45,1443,518,44_e
AAO14,3202945.7734375,46-48,958,232,46_c
AAO14,3221529.7729492188,46-48,1437,506,47_e
AAO14,3258073.7729492188,46-48,961,773,48_c
